valence_bin,condition_1,condition_2,n1,n2,statistic,p_value,stars
negative,off stim,dorsal stim,24,20,-0.8838834764831843,0.376759117811582,
negative,off stim,ventral stim,24,20,-0.6246109900481169,0.5322264048962642,
negative,off stim,normative,24,64,-0.14522176474294815,0.8845357823088833,
negative,dorsal stim,ventral stim,20,20,0.10820035616009187,0.9138367624408553,
negative,dorsal stim,normative,20,64,1.570064044216406,0.11640021245586415,
negative,ventral stim,normative,20,64,1.0449590127059023,0.2960419133791926,
neutral,off stim,dorsal stim,36,38,-0.5623675932533101,0.5738655938854396,
neutral,off stim,ventral stim,36,38,-0.14059189831332752,0.8881923488733426,
neutral,off stim,normative,36,112,-2.420113242479322,0.015515674412407749,*
neutral,dorsal stim,ventral stim,38,38,0.4726863492737288,0.6364369669917453,
neutral,dorsal stim,normative,38,112,-1.5404970603830594,0.12343923879902549,
neutral,ventral stim,normative,38,112,-2.1821907867978823,0.029095454985554114,*
positive,off stim,dorsal stim,36,38,0.9300694811497052,0.3523351110167683,
positive,off stim,ventral stim,36,38,0.5731823546620276,0.5665212305009681,
positive,off stim,normative,36,112,-4.344136789824379,1.3982437339529699e-05,***
positive,dorsal stim,ventral stim,38,38,-0.34802181759714096,0.7278237984382907,
positive,dorsal stim,normative,38,112,-6.4601489628967,1.04599964564983e-10,***
positive,ventral stim,normative,38,112,-5.64776902642541,1.6254335476034146e-08,***
