ID,Category,Nr,V/H,Description,Valence,Arousal,Width,Height,Luminance,Contrast
Animals_001_h,Animals,1,h,Dead Stork,2.57,6.44,1600,1200,126.05,68.45
Animals_008_v,Animals,8,v,Fighting Chickens,2.63,6.8,1200,1600,88.94,69.76
Animals_010_h,Animals,10,h,Sick Kitten,4.59,5.9,1600,1200,110.14,65.48
Animals_013_h,Animals,13,h,Dead Deer,2.9,6.73,1600,1200,104.82,71.88
Animals_016_h,Animals,16,h,Dead Hamster,2.67,6.92,1600,1200,181.19,62.59
Animals_017_v,Animals,17,v,Dead Bird,3.23,5.54,1200,1600,129.78,36.96
Animals_018_h,Animals,18,h,Dead Frog,3.34,6.17,1600,1200,68.15,66.89
Animals_019_h,Animals,19,h,Dead Kangaroo,2.68,6.4,1600,1200,135.47,50.9
Animals_024_h,Animals,24,h,Dead Cat,2.44,6.75,1600,1200,88.66,68.53
Animals_025_h,Animals,25,h,Sheep,2.65,6.63,1600,1200,90.61,48.83
Animals_027_h,Animals,27,h,Dead Bird,2.55,6.34,1600,1200,90.29,51.94
Animals_029_v,Animals,29,v,Horse Legs,3.1,6.13,1200,1600,122.31,73.55
Animals_032_h,Animals,32,h,Kangaroo Skeleton,2.96,6.3,1600,1200,112.84,39.92
Animals_033_h,Animals,33,h,Dead Bird,2.41,6.61,1600,1200,173.34,60.12
Animals_038_h,Animals,38,h,Dead Wild Boar,2.96,6.68,1600,1200,143.27,62.22
Animals_039_h,Animals,39,h,Dead Dog,2.46,7.19,1600,1200,94.14,67.23
Animals_045_h,Animals,45,h,Dead Bird,3.02,6.82,1600,1200,111.02,63.92
Animals_047_h,Animals,47,h,Lion,4.94,5.79,1600,1200,112.56,61.68
Animals_048_h,Animals,48,h,Starved Dog,2.85,6.62,1600,1200,107.32,61.73
Animals_049_h,Animals,49,h,Sick Dog,3.7,5.88,1600,1200,128.38,76.37
Animals_054_h,Animals,54,h,Starved Dog,2.64,6.53,1600,1200,119.68,63.64
Animals_056_h,Animals,56,h,Dead Cat,1.86,7.5,1600,1200,102.79,66.73
Animals_057_h,Animals,57,h,Dead Crow,2.92,5.69,1600,1200,136.98,70.86
Animals_060_h,Animals,60,h,Sick Snow Leopard,3.02,6.59,1600,1200,110.91,67.33
Animals_062_h,Animals,62,h,Dead Cow,2.49,6.49,1600,1200,114.81,49.19
Animals_063_h,Animals,63,h,Dead Deer,2.47,7.06,1600,1200,134.8,48.02
Animals_064_v,Animals,64,v,Dead Fish,2.96,5.98,1200,1600,56.1,39.14
Animals_067_h,Animals,67,h,Dead Mouse,2.96,6.0,1600,1200,141.38,64.1
Animals_068_h,Animals,68,h,Dead Chinchillas,2.56,6.63,1600,1200,142.57,63.56
Animals_071_h,Animals,71,h,Dead Moose,2.35,6.68,1600,1200,125.42,57.89
Animals_073_h,Animals,73,h,Dead Lion,3.8,7.35,1600,1200,99.68,49.04
Animals_074_h,Animals,74,h,Starved Dog,1.7,7.37,1600,1200,137.4,69.78
Animals_075_h,Animals,75,h,Sick Chinchilla,3.04,6.43,1600,1200,109.96,58.45
Animals_077_h,Animals,77,h,Sick Dog,2.02,7.48,1600,1200,109.72,68.56
Animals_078_h,Animals,78,h,Dead Mouse,2.26,6.68,1600,1200,121.01,55.45
Animals_150_h,Animals,150,h,Sea Lions,5.96,4.8,1600,1200,128.94,61.32
Animals_204_h,Animals,204,h,Frogs,6.41,4.74,1600,1200,107.9,44.5
Animals_207_h,Animals,207,h,Dog'S Teeth,3.06,6.69,1600,1200,72.48,58.93
Faces_003_h,Faces,3,h,Children,3.1,6.77,1600,1200,61.89,57.73
Faces_007_h,Faces,7,h,Amputee Boy,2.87,6.65,1600,1200,131.73,76.45
Faces_009_h,Faces,9,h,Hurting Child,2.48,6.8,1600,1200,55.75,69.0
Faces_010_h,Faces,10,h,Child With Burns,2.24,7.73,1600,1200,120.67,65.14
Faces_013_h,Faces,13,h,Child In A Rescue Sled,3.11,6.42,1600,1200,84.93,64.81
Faces_016_h,Faces,16,h,Armed Children,2.92,7.02,1600,1200,83.27,80.65
Faces_018_h,Faces,18,h,Armed Boys,2.41,6.8,1600,1200,95.82,60.48
