trial,ID,filename,Valence,Category,val_bin,condition
1,Objects_136_h,Objects_136_h.jpg,3.96,Objects,4-Mar,FEEL
2,People_118_h,People_118_h.jpg,2.48,People,3-Feb,TONE
3,People_059_v,People_059_v.jpg,4.38,People,5-Apr,TONE
4,9904,9904.jpg,1.98,CarAccident,2-Jan,TONE
5,People_107_h,People_107_h.jpg,7.38,People,8-Jul,TONE
6,Animals_054_h,Animals_054_h.jpg,2.64,Animals,3-Feb,TONE
7,Landscapes_127_h,Landscapes_127_h.jpg,6.95,Landscapes,7-Jun,FEEL
8,Animals_210_v,Animals_210_v.jpg,6.45,Animals,7-Jun,TONE
9,Landscapes_178_h,Landscapes_178_h.jpg,7.69,Landscapes,8-Jul,TONE
10,Animals_036_h,Animals_036_h.jpg,4.15,Animals,5-Apr,FEEL
11,Landscapes_054_h,Landscapes_054_h.jpg,7.6,Landscapes,8-Jul,TONE
12,1304,1304.jpg,8.18,AttackDog,9-Aug,TONE
13,Landscapes_172_h,Landscapes_172_h.jpg,6.64,Landscapes,7-Jun,TONE
14,Animals_064_v,Animals_064_v.jpg,2.96,Animals,3-Feb,FEEL
15,Faces_250_h,Faces_250_h.jpg,5.73,Faces,6-May,FEEL
16,Faces_259_v,Faces_259_v.jpg,6.02,Faces,7-Jun,TONE
17,1026,1026.jpg,8.55,Snake,9-Aug,FEEL
18,Animals_160_h,Animals_160_h.jpg,7.18,Animals,8-Jul,TONE
19,People_019_v,People_019_v.jpg,2.8,People,3-Feb,FEEL
20,Animals_129_h,Animals_129_h.jpg,5.22,Animals,6-May,TONE
21,9930,9930.jpg,1.78,ShipWave,2-Jan,FEEL
22,Faces_009_h,Faces_009_h.jpg,2.48,Faces,3-Feb,FEEL
23,People_213_v,People_213_v.jpg,2.85,People,3-Feb,TONE
24,People_143_h,People_143_h.jpg,2.57,People,3-Feb,FEEL
25,9910,9910.jpg,1.97,CarAccident,2-Jan,FEEL
26,Animals_081_h,Animals_081_h.jpg,4.87,Animals,5-Apr,FEEL
27,1350,1350.jpg,8.12,Pig,9-Aug,FEEL
28,Faces_306_v,Faces_306_v.jpg,5.41,Faces,6-May,FEEL
29,Animals_087_h,Animals_087_h.jpg,5.67,Animals,6-May,FEEL
30,Faces_081_v,Faces_081_v.jpg,7.6,Faces,8-Jul,FEEL
31,Animals_094_h,Animals_094_h.jpg,6.17,Animals,7-Jun,TONE
32,Faces_172_h,Faces_172_h.jpg,2.45,Faces,3-Feb,FEEL
33,People_074_v,People_074_v.jpg,3.88,People,4-Mar,TONE
34,1090,1090.jpg,8.44,Snake,9-Aug,TONE
35,Landscapes_043_h,Landscapes_043_h.jpg,4.8,Landscapes,5-Apr,FEEL
36,1033,1033.jpg,8.54,Snake,9-Aug,FEEL
37,Animals_086_v,Animals_086_v.jpg,4.45,Animals,5-Apr,FEEL
38,Objects_197_v,Objects_197_v.jpg,5,Objects,5-Apr,FEEL
39,People_064_h,People_064_h.jpg,6.5,People,7-Jun,TONE
40,Faces_152_h,Faces_152_h.jpg,2.71,Faces,3-Feb,TONE
41,Objects_011_h,Objects_011_h.jpg,2.87,Objects,3-Feb,TONE
42,Objects_302_h,Objects_302_h.jpg,5.65,Objects,6-May,TONE
43,Landscapes_161_h,Landscapes_161_h.jpg,7.58,Landscapes,8-Jul,FEEL
44,Faces_068_h,Faces_068_h.jpg,6.57,Faces,7-Jun,TONE
45,People_174_v,People_174_v.jpg,7.52,People,8-Jul,TONE
46,Objects_235_h,Objects_235_h.jpg,3.96,Objects,4-Mar,FEEL
47,People_235_h,People_235_h.jpg,2.67,People,3-Feb,FEEL
48,Landscapes_119_h,Landscapes_119_h.jpg,6.6,Landscapes,7-Jun,FEEL
49,People_224_h,People_224_h.jpg,3.49,People,4-Mar,FEEL
50,Animals_042_h,Animals_042_h.jpg,2.82,Animals,3-Feb,TONE
51,Objects_179_h,Objects_179_h.jpg,4.85,Objects,5-Apr,FEEL
52,Objects_280_v,Objects_280_v.jpg,4.82,Objects,5-Apr,TONE
53,Landscapes_100_h,Landscapes_100_h.jpg,6.88,Landscapes,7-Jun,FEEL
54,1410,1410.jpg,8.11,Ferret,9-Aug,FEEL
55,People_056_h,People_056_h.jpg,5.53,People,6-May,FEEL
56,Objects_084_v,Objects_084_v.jpg,7.81,Objects,8-Jul,TONE
57,People_223_h,People_223_h.jpg,3.18,People,4-Mar,TONE
58,1050,1050.jpg,8.51,Snake,9-Aug,FEEL
59,1022,1022.jpg,8.6,Snake,9-Aug,TONE
60,Animals_060_h,Animals_060_h.jpg,3.02,Animals,4-Mar,FEEL
61,People_022_h,People_022_h.jpg,2.13,People,3-Feb,FEEL
62,Objects_147_v,Objects_147_v.jpg,4.9,Objects,5-Apr,FEEL
63,Objects_231_h,Objects_231_h.jpg,5.21,Objects,6-May,TONE
64,1112,1112.jpg,8.4,Snake,9-Aug,TONE
65,Animals_152_h,Animals_152_h.jpg,6.78,Animals,7-Jun,FEEL
66,Faces_302_h,Faces_302_h.jpg,3.02,Faces,4-Mar,FEEL
67,Objects_158_h,Objects_158_h.jpg,3.45,Objects,4-Mar,TONE
68,Faces_300_h,Faces_300_h.jpg,3.53,Faces,4-Mar,FEEL
69,Objects_234_h,Objects_234_h.jpg,4.43,Objects,5-Apr,FEEL
70,Landscapes_184_h,Landscapes_184_h.jpg,6.37,Landscapes,7-Jun,TONE
71,People_201_v,People_201_v.jpg,1.87,People,2-Jan,TONE
72,Objects_325_h,Objects_325_h.jpg,7.4,Objects,8-Jul,FEEL
73,Faces_195_v,Faces_195_v.jpg,5.71,Faces,6-May,FEEL
74,Animals_158_h,Animals_158_h.jpg,7.51,Animals,8-Jul,FEEL
75,Animals_046_h,Animals_046_h.jpg,5.65,Animals,6-May,TONE
76,People_039_v,People_039_v.jpg,2.76,People,3-Feb,FEEL
77,Faces_073_v,Faces_073_v.jpg,6.2,Faces,7-Jun,TONE
78,Faces_150_h,Faces_150_h.jpg,3.34,Faces,4-Mar,FEEL
79,1419,1419.jpg,8.1,Birds,9-Aug,TONE
80,Faces_036_h,Faces_036_h.jpg,4.23,Faces,5-Apr,TONE
81,People_079_h,People_079_h.jpg,4.08,People,5-Apr,TONE
82,Faces_127_h,Faces_127_h.jpg,7.59,Faces,8-Jul,TONE
83,Landscapes_059_v,Landscapes_059_v.jpg,7,Landscapes,7-Jun,FEEL
84,Objects_062_h,Objects_062_h.jpg,5.85,Objects,6-May,FEEL
85,Animals_176_h,Animals_176_h.jpg,6.46,Animals,7-Jun,FEEL
86,Faces_012_v,Faces_012_v.jpg,3.7,Faces,4-Mar,TONE
87,People_135_h,People_135_h.jpg,4.62,People,5-Apr,TONE
88,Faces_132_h,Faces_132_h.jpg,6.85,Faces,7-Jun,FEEL
