trial,ID,filename,Category,Valence,val_bin,condition
1,Objects_147_v,Objects_147_v.jpg,Objects,4.9,4-5,TONE
2,Objects_125_h,Objects_125_h.jpg,Objects,2.02,2-3,FEEL
3,People_224_h,People_224_h.jpg,People,3.49,3-4,TONE
4,Animals_160_h,Animals_160_h.jpg,Animals,7.18,7-8,FEEL
5,Faces_143_v,Faces_143_v.jpg,Faces,1.85,1-2,TONE
6,People_218_v,People_218_v.jpg,People,1.84,1-2,FEEL
7,Objects_046_h,Objects_046_h.jpg,Objects,5.14,5-6,TONE
8,Faces_019_h,Faces_019_h.jpg,Faces,2.79,2-3,TONE
9,Animals_018_h,Animals_018_h.jpg,Animals,3.34,3-4,FEEL
10,Landscapes_144_h,Landscapes_144_h.jpg,Landscapes,5.73,5-6,TONE
11,Faces_269_v,Faces_269_v.jpg,Faces,3.53,3-4,FEEL
12,Animals_044_h,Animals_044_h.jpg,Animals,5.32,5-6,TONE
13,People_069_h,People_069_h.jpg,People,6.71,6-7,TONE
14,Objects_114_h,Objects_114_h.jpg,Objects,3.84,3-4,TONE
15,Faces_153_v,Faces_153_v.jpg,Faces,2.65,2-3,FEEL
16,Faces_148_h,Faces_148_h.jpg,Faces,3.71,3-4,TONE
17,Landscapes_068_h,Landscapes_068_h.jpg,Landscapes,3.58,3-4,FEEL
18,Landscapes_093_h,Landscapes_093_h.jpg,Landscapes,5.41,5-6,TONE
19,Faces_205_h,Faces_205_h.jpg,Faces,5.66,5-6,FEEL
20,People_148_h,People_148_h.jpg,People,5.59,5-6,FEEL
21,Animals_072_h,Animals_072_h.jpg,Animals,5.0,4-5,FEEL
22,Landscapes_033_h,Landscapes_033_h.jpg,Landscapes,4.52,4-5,TONE
23,Faces_247_h,Faces_247_h.jpg,Faces,6.41,6-7,FEEL
24,Faces_367_h,Faces_367_h.jpg,Faces,1.65,1-2,TONE
25,People_095_h,People_095_h.jpg,People,5.24,5-6,TONE
