trial,ID,filename,Category,Valence,val_bin,condition
1,Landscapes_156_h,Landscapes_156_h.jpg,Landscapes,4.19,4-5,FEEL
2,Landscapes_141_h,Landscapes_141_h.jpg,Landscapes,8.04,8-9,FEEL
3,People_113_h,People_113_h.jpg,People,8.05,8-9,TONE
4,People_175_h,People_175_h.jpg,People,7.21,7-8,TONE
5,Faces_036_h,Faces_036_h.jpg,Faces,4.23,4-5,FEEL
6,Landscapes_002_h,Landscapes_002_h.jpg,Landscapes,2.8,2-3,FEEL
7,Faces_145_v,Faces_145_v.jpg,Faces,2.29,2-3,FEEL
8,Animals_220_h,Animals_220_h.jpg,Animals,8.02,8-9,FEEL
9,Objects_280_v,Objects_280_v.jpg,Objects,4.82,4-5,TONE
10,People_249_h,People_249_h.jpg,People,5.64,5-6,FEEL
11,Objects_166_h,Objects_166_h.jpg,Objects,5.83,5-6,FEEL
12,Faces_017_h,Faces_017_h.jpg,Faces,3.86,3-4,FEEL
13,Animals_163_h,Animals_163_h.jpg,Animals,7.7,7-8,FEEL
14,Objects_144_h,Objects_144_h.jpg,Objects,3.0,2-3,TONE
15,Faces_113_h,Faces_113_h.jpg,Faces,6.9,6-7,FEEL
16,Animals_035_h,Animals_035_h.jpg,Animals,5.08,5-6,FEEL
17,Landscapes_130_h,Landscapes_130_h.jpg,Landscapes,5.66,5-6,FEEL
18,Animals_131_h,Animals_131_h.jpg,Animals,7.62,7-8,FEEL
19,Landscapes_094_h,Landscapes_094_h.jpg,Landscapes,7.06,7-8,TONE
20,Faces_058_h,Faces_058_h.jpg,Faces,5.9,5-6,FEEL
21,People_037_h,People_037_h.jpg,People,3.65,3-4,TONE
22,Faces_206_v,Faces_206_v.jpg,Faces,5.58,5-6,TONE
23,Landscapes_068_h,Landscapes_068_h.jpg,Landscapes,3.58,3-4,FEEL
24,Faces_010_h,Faces_010_h.jpg,Faces,2.24,2-3,FEEL
25,Animals_036_h,Animals_036_h.jpg,Animals,4.15,4-5,FEEL
26,People_076_h,People_076_h.jpg,People,4.43,4-5,FEEL
27,Objects_240_h,Objects_240_h.jpg,Objects,6.37,6-7,TONE
28,People_114_h,People_114_h.jpg,People,5.89,5-6,TONE
29,People_033_h,People_033_h.jpg,People,3.65,3-4,FEEL
30,Landscapes_007_h,Landscapes_007_h.jpg,Landscapes,2.93,2-3,TONE
31,Faces_367_h,Faces_367_h.jpg,Faces,1.65,1-2,TONE
32,People_163_v,People_163_v.jpg,People,6.02,6-7,TONE
33,Objects_261_h,Objects_261_h.jpg,Objects,6.2,6-7,TONE
34,People_246_h,People_246_h.jpg,People,1.96,1-2,TONE
35,Faces_078_h,Faces_078_h.jpg,Faces,5.63,5-6,TONE
36,People_092_v,People_092_v.jpg,People,6.47,6-7,FEEL
37,Faces_227_v,Faces_227_v.jpg,Faces,7.25,7-8,TONE
38,Animals_087_h,Animals_087_h.jpg,Animals,5.67,5-6,FEEL
39,Objects_088_h,Objects_088_h.jpg,Objects,3.55,3-4,TONE
40,People_190_h,People_190_h.jpg,People,8.22,8-9,FEEL
41,Animals_177_h,Animals_177_h.jpg,Animals,8.09,8-9,TONE
42,People_039_v,People_039_v.jpg,People,2.76,2-3,TONE
43,Animals_076_v,Animals_076_v.jpg,Animals,3.68,3-4,TONE
44,Faces_166_h,Faces_166_h.jpg,Faces,4.72,4-5,FEEL
45,Faces_212_h,Faces_212_h.jpg,Faces,4.52,4-5,TONE
46,People_220_h,People_220_h.jpg,People,1.98,1-2,FEEL
47,Objects_283_h,Objects_283_h.jpg,Objects,2.62,2-3,TONE
48,Animals_180_h,Animals_180_h.jpg,Animals,6.9,6-7,TONE
49,Objects_038_v,Objects_038_v.jpg,Objects,6.16,6-7,TONE
50,Faces_131_v,Faces_131_v.jpg,Faces,7.27,7-8,FEEL
51,Objects_244_h,Objects_244_h.jpg,Objects,5.07,5-6,TONE
52,Animals_052_v,Animals_052_v.jpg,Animals,4.04,4-5,TONE
53,People_016_h,People_016_h.jpg,People,2.45,2-3,TONE
54,People_237_h,People_237_h.jpg,People,1.6,1-2,FEEL
55,Faces_340_h,Faces_340_h.jpg,Faces,7.29,7-8,TONE
56,People_131_h,People_131_h.jpg,People,4.28,4-5,TONE
57,Landscapes_060_h,Landscapes_060_h.jpg,Landscapes,5.21,5-6,TONE
58,Landscapes_043_h,Landscapes_043_h.jpg,Landscapes,4.8,4-5,FEEL
59,Faces_143_v,Faces_143_v.jpg,Faces,1.85,1-2,TONE
60,Objects_037_h,Objects_037_h.jpg,Objects,7.23,7-8,FEEL
61,People_172_v,People_172_v.jpg,People,8.02,8-9,TONE
62,Landscapes_180_h,Landscapes_180_h.jpg,Landscapes,8.54,8-9,TONE
63,Faces_046_h,Faces_046_h.jpg,Faces,6.63,6-7,FEEL
64,Objects_291_h,Objects_291_h.jpg,Objects,7.04,7-8,FEEL
65,Faces_274_h,Faces_274_h.jpg,Faces,3.4,3-4,FEEL
66,Faces_109_v,Faces_109_v.jpg,Faces,8.17,8-9,TONE
67,Landscapes_120_v,Landscapes_120_v.jpg,Landscapes,8.31,8-9,FEEL
68,Animals_133_h,Animals_133_h.jpg,Animals,4.85,4-5,TONE
69,Landscapes_169_h,Landscapes_169_h.jpg,Landscapes,6.34,6-7,FEEL
70,Objects_035_h,Objects_035_h.jpg,Objects,4.69,4-5,TONE
71,People_218_v,People_218_v.jpg,People,1.84,1-2,TONE
72,People_171_v,People_171_v.jpg,People,6.93,6-7,TONE
73,Objects_196_h,Objects_196_h.jpg,Objects,5.09,5-6,TONE
74,Animals_168_h,Animals_168_h.jpg,Animals,6.71,6-7,FEEL
75,Landscapes_154_h,Landscapes_154_h.jpg,Landscapes,8.27,8-9,FEEL
76,Animals_065_h,Animals_065_h.jpg,Animals,3.84,3-4,TONE
77,Animals_033_h,Animals_033_h.jpg,Animals,2.41,2-3,FEEL
78,Animals_056_h,Animals_056_h.jpg,Animals,1.86,1-2,FEEL
79,Animals_050_h,Animals_050_h.jpg,Animals,3.55,3-4,FEEL
80,Objects_021_v,Objects_021_v.jpg,Objects,3.6,3-4,TONE
81,Objects_275_v,Objects_275_v.jpg,Objects,3.58,3-4,FEEL
82,Faces_371_v,Faces_371_v.jpg,Faces,1.73,1-2,TONE
83,Faces_283_h,Faces_283_h.jpg,Faces,2.48,2-3,TONE
84,People_188_h,People_188_h.jpg,People,7.55,7-8,FEEL
85,Animals_013_h,Animals_013_h.jpg,Animals,2.9,2-3,FEEL
86,Faces_159_h,Faces_159_h.jpg,Faces,1.93,1-2,TONE
87,Landscapes_138_h,Landscapes_138_h.jpg,Landscapes,7.68,7-8,TONE
88,Faces_365_v,Faces_365_v.jpg,Faces,1.98,1-2,FEEL
89,Animals_109_h,Animals_109_h.jpg,Animals,7.02,7-8,TONE
90,People_238_h,People_238_h.jpg,People,1.33,1-2,FEEL
91,People_110_h,People_110_h.jpg,People,8.11,8-9,TONE
92,Landscapes_026_h,Landscapes_026_h.jpg,Landscapes,2.48,2-3,FEEL
93,Animals_166_v,Animals_166_v.jpg,Animals,8.27,8-9,FEEL
94,Landscapes_073_h,Landscapes_073_h.jpg,Landscapes,6.17,6-7,FEEL
95,Animals_074_h,Animals_074_h.jpg,Animals,1.7,1-2,FEEL
96,Landscapes_039_v,Landscapes_039_v.jpg,Landscapes,3.53,3-4,TONE
