ID,Valence,Category,val_bin,condition
Objects_136_h,3.96,Objects,3-4,FEEL
People_118_h,2.48,People,2-3,TONE
People_059_v,4.38,People,4-5,TONE
9904.0,1.9800000000000004,CarAccident,1-2,TONE
People_107_h,7.38,People,7-8,TONE
Animals_054_h,2.64,Animals,2-3,TONE
Landscapes_127_h,6.95,Landscapes,6-7,FEEL
Animals_210_v,6.45,Animals,6-7,TONE
Landscapes_178_h,7.69,Landscapes,7-8,TONE
Animals_036_h,4.15,Animals,4-5,FEEL
Landscapes_054_h,7.6,Landscapes,7-8,TONE
1304.0,8.18,AttackDog,8-9,TONE
Landscapes_172_h,6.64,Landscapes,6-7,TONE
Animals_064_v,2.96,Animals,2-3,FEEL
Faces_250_h,5.73,Faces,5-6,FEEL
Faces_259_v,6.02,Faces,6-7,TONE
1026.0,8.55,Snake,8-9,FEEL
Animals_160_h,7.18,Animals,7-8,TONE
People_019_v,2.8,People,2-3,FEEL
Animals_129_h,5.22,Animals,5-6,TONE
9930.0,1.7799999999999994,ShipWave,1-2,FEEL
Faces_009_h,2.48,Faces,2-3,FEEL
People_213_v,2.85,People,2-3,TONE
People_143_h,2.57,People,2-3,FEEL
9910.0,1.9700000000000006,CarAccident,1-2,FEEL
Animals_081_h,4.87,Animals,4-5,FEEL
1350.0,8.120000000000001,Pig,8-9,FEEL
Faces_306_v,5.41,Faces,5-6,FEEL
Animals_087_h,5.67,Animals,5-6,FEEL
Faces_081_v,7.6,Faces,7-8,FEEL
Animals_094_h,6.17,Animals,6-7,TONE
Faces_172_h,2.45,Faces,2-3,FEEL
People_074_v,3.88,People,3-4,TONE
1090.0,8.44,Snake,8-9,TONE
Landscapes_043_h,4.8,Landscapes,4-5,FEEL
1033.0,8.54,Snake,8-9,FEEL
Animals_086_v,4.45,Animals,4-5,FEEL
Objects_197_v,5.0,Objects,4-5,FEEL
People_064_h,6.5,People,6-7,TONE
Faces_152_h,2.71,Faces,2-3,TONE
Objects_011_h,2.87,Objects,2-3,TONE
Objects_302_h,5.65,Objects,5-6,TONE
Landscapes_161_h,7.58,Landscapes,7-8,FEEL
Faces_068_h,6.57,Faces,6-7,TONE
People_174_v,7.52,People,7-8,TONE
Objects_235_h,3.96,Objects,3-4,FEEL
People_235_h,2.67,People,2-3,FEEL
Landscapes_119_h,6.6,Landscapes,6-7,FEEL
People_224_h,3.49,People,3-4,FEEL
Animals_042_h,2.82,Animals,2-3,TONE
Objects_179_h,4.85,Objects,4-5,FEEL
Objects_280_v,4.82,Objects,4-5,TONE
Landscapes_100_h,6.88,Landscapes,6-7,FEEL
1410.0,8.11,Ferret,8-9,FEEL
People_056_h,5.53,People,5-6,FEEL
Objects_084_v,7.81,Objects,7-8,TONE
People_223_h,3.18,People,3-4,TONE
1050.0,8.51,Snake,8-9,FEEL
1022.0,8.6,Snake,8-9,TONE
Animals_060_h,3.02,Animals,3-4,FEEL
People_022_h,2.13,People,2-3,FEEL
Objects_147_v,4.9,Objects,4-5,FEEL
Objects_231_h,5.21,Objects,5-6,TONE
1112.0,8.4,Snake,8-9,TONE
Animals_152_h,6.78,Animals,6-7,FEEL
Faces_302_h,3.02,Faces,3-4,FEEL
Objects_158_h,3.45,Objects,3-4,TONE
Faces_300_h,3.53,Faces,3-4,FEEL
Objects_234_h,4.43,Objects,4-5,FEEL
Landscapes_184_h,6.37,Landscapes,6-7,TONE
People_201_v,1.87,People,1-2,TONE
Objects_325_h,7.4,Objects,7-8,FEEL
Faces_195_v,5.71,Faces,5-6,FEEL
Animals_158_h,7.51,Animals,7-8,FEEL
Animals_046_h,5.65,Animals,5-6,TONE
People_039_v,2.76,People,2-3,FEEL
Faces_073_v,6.2,Faces,6-7,TONE
Faces_150_h,3.34,Faces,3-4,FEEL
1419.0,8.1,Birds,8-9,TONE
Faces_036_h,4.23,Faces,4-5,TONE
People_079_h,4.08,People,4-5,TONE
Faces_127_h,7.59,Faces,7-8,TONE
Landscapes_059_v,7.0,Landscapes,6-7,FEEL
Objects_062_h,5.85,Objects,5-6,FEEL
Animals_176_h,6.46,Animals,6-7,FEEL
Faces_012_v,3.7,Faces,3-4,TONE
People_135_h,4.62,People,4-5,TONE
Faces_132_h,6.85,Faces,6-7,FEEL
Faces_372_h,3.76,Faces,3-4,TONE
People_221_h,1.88,People,1-2,TONE
1275.0,8.2,Roaches,8-9,FEEL
Faces_235_v,7.4,Faces,7-8,TONE
People_085_h,3.17,People,3-4,TONE
Landscapes_046_h,5.91,Landscapes,5-6,TONE
Animals_182_h,7.09,Animals,7-8,FEEL
Faces_075_v,6.55,Faces,6-7,FEEL
Objects_187_h,4.73,Objects,4-5,TONE
Objects_318_h,3.96,Objects,3-4,TONE
1274.0,8.21,Roaches,8-9,TONE
Landscapes_166_h,7.56,Landscapes,7-8,FEEL
Objects_135_h,3.92,Objects,3-4,TONE
Objects_065_h,5.15,Objects,5-6,TONE
People_030_h,7.38,People,7-8,FEEL
Animals_088_h,5.54,Animals,5-6,FEEL
Faces_362_v,2.53,Faces,2-3,TONE
Landscapes_015_h,4.59,Landscapes,4-5,TONE
Animals_057_h,2.92,Animals,2-3,TONE
People_104_h,5.38,People,5-6,FEEL
Faces_291_h,3.08,Faces,3-4,FEEL
Objects_228_h,4.55,Objects,4-5,TONE
Faces_230_h,6.0,Faces,5-6,TONE
Animals_138_h,5.51,Animals,5-6,TONE
