trial,ID,filename,Category,Valence,val_bin,condition
1,Animals_068_h,Animals_068_h.jpg,Animals,2.56,2-3,TONE
2,People_202_h,People_202_h.jpg,People,2.58,2-3,FEEL
3,Animals_213_h,Animals_213_h.jpg,Animals,5.98,5-6,TONE
4,Faces_364_v,Faces_364_v.jpg,Faces,1.76,1-2,FEEL
5,Objects_077_h,Objects_077_h.jpg,Objects,7.71,7-8,TONE
6,Landscapes_007_h,Landscapes_007_h.jpg,Landscapes,2.93,2-3,TONE
7,Faces_275_h,Faces_275_h.jpg,Faces,4.48,4-5,FEEL
8,Faces_288_h,Faces_288_h.jpg,Faces,3.51,3-4,TONE
9,Landscapes_104_h,Landscapes_104_h.jpg,Landscapes,7.2,7-8,TONE
10,Objects_288_h,Objects_288_h.jpg,Objects,5.93,5-6,TONE
11,Faces_302_h,Faces_302_h.jpg,Faces,3.02,3-4,FEEL
12,Objects_080_h,Objects_080_h.jpg,Objects,7.55,7-8,FEEL
13,Animals_037_h,Animals_037_h.jpg,Animals,3.03,3-4,FEEL
14,People_142_h,People_142_h.jpg,People,2.85,2-3,TONE
15,Faces_320_v,Faces_320_v.jpg,Faces,5.06,5-6,FEEL
16,People_077_v,People_077_v.jpg,People,3.11,3-4,TONE
17,People_068_h,People_068_h.jpg,People,7.11,7-8,FEEL
18,People_023_h,People_023_h.jpg,People,3.06,3-4,FEEL
19,Objects_139_h,Objects_139_h.jpg,Objects,2.08,2-3,FEEL
20,Landscapes_013_v,Landscapes_013_v.jpg,Landscapes,4.35,4-5,FEEL
21,People_208_h,People_208_h.jpg,People,1.85,1-2,TONE
22,Animals_054_h,Animals_054_h.jpg,Animals,2.64,2-3,TONE
23,Animals_064_v,Animals_064_v.jpg,Animals,2.96,2-3,TONE
24,Animals_166_v,Animals_166_v.jpg,Animals,8.27,8-9,TONE
25,Animals_074_h,Animals_074_h.jpg,Animals,1.7,1-2,TONE
26,Landscapes_050_h,Landscapes_050_h.jpg,Landscapes,6.87,6-7,FEEL
27,Objects_326_h,Objects_326_h.jpg,Objects,7.73,7-8,FEEL
28,Animals_026_h,Animals_026_h.jpg,Animals,5.35,5-6,FEEL
29,Landscapes_072_h,Landscapes_072_h.jpg,Landscapes,5.83,5-6,FEEL
30,Objects_182_v,Objects_182_v.jpg,Objects,3.91,3-4,TONE
31,People_117_h,People_117_h.jpg,People,3.94,3-4,FEEL
32,Faces_007_h,Faces_007_h.jpg,Faces,2.87,2-3,FEEL
33,Objects_066_v,Objects_066_v.jpg,Objects,6.04,6-7,TONE
34,Landscapes_161_h,Landscapes_161_h.jpg,Landscapes,7.58,7-8,TONE
35,People_159_h,People_159_h.jpg,People,5.44,5-6,TONE
36,Animals_123_h,Animals_123_h.jpg,Animals,7.38,7-8,FEEL
37,Objects_265_h,Objects_265_h.jpg,Objects,6.19,6-7,FEEL
38,People_045_h,People_045_h.jpg,People,6.56,6-7,TONE
39,Faces_270_h,Faces_270_h.jpg,Faces,3.56,3-4,TONE
40,Objects_001_h,Objects_001_h.jpg,Objects,2.72,2-3,TONE
41,Objects_011_h,Objects_011_h.jpg,Objects,2.87,2-3,FEEL
42,Landscapes_012_h,Landscapes_012_h.jpg,Landscapes,4.4,4-5,FEEL
43,Faces_025_h,Faces_025_h.jpg,Faces,3.75,3-4,TONE
44,Objects_039_h,Objects_039_h.jpg,Objects,3.49,3-4,FEEL
45,Animals_109_h,Animals_109_h.jpg,Animals,7.02,7-8,FEEL
46,People_029_h,People_029_h.jpg,People,6.32,6-7,TONE
47,People_209_v,People_209_v.jpg,People,2.73,2-3,TONE
48,Objects_010_h,Objects_010_h.jpg,Objects,4.5,4-5,TONE
49,Objects_048_h,Objects_048_h.jpg,Objects,6.61,6-7,TONE
50,Animals_063_h,Animals_063_h.jpg,Animals,2.47,2-3,FEEL
51,Landscapes_130_h,Landscapes_130_h.jpg,Landscapes,5.66,5-6,FEEL
52,Faces_060_h,Faces_060_h.jpg,Faces,5.21,5-6,TONE
53,People_011_h,People_011_h.jpg,People,4.3,4-5,TONE
54,People_176_h,People_176_h.jpg,People,7.49,7-8,FEEL
55,People_155_h,People_155_h.jpg,People,5.36,5-6,FEEL
56,Faces_324_h,Faces_324_h.jpg,Faces,7.14,7-8,FEEL
57,Faces_096_h,Faces_096_h.jpg,Faces,6.69,6-7,FEEL
58,Faces_092_h,Faces_092_h.jpg,Faces,7.08,7-8,TONE
59,Faces_066_h,Faces_066_h.jpg,Faces,7.43,7-8,TONE
60,Landscapes_112_v,Landscapes_112_v.jpg,Landscapes,6.84,6-7,TONE
61,Landscapes_139_h,Landscapes_139_h.jpg,Landscapes,2.43,2-3,FEEL
62,Animals_125_h,Animals_125_h.jpg,Animals,6.99,6-7,FEEL
63,Animals_052_v,Animals_052_v.jpg,Animals,4.04,4-5,TONE
64,Animals_184_h,Animals_184_h.jpg,Animals,7.96,7-8,TONE
65,Landscapes_056_h,Landscapes_056_h.jpg,Landscapes,4.82,4-5,FEEL
66,Faces_093_v,Faces_093_v.jpg,Faces,6.83,6-7,FEEL
67,People_153_h,People_153_h.jpg,People,6.43,6-7,FEEL
68,Animals_214_h,Animals_214_h.jpg,Animals,6.33,6-7,TONE
69,Faces_200_h,Faces_200_h.jpg,Faces,5.57,5-6,TONE
70,Landscapes_039_v,Landscapes_039_v.jpg,Landscapes,3.53,3-4,FEEL
71,People_221_h,People_221_h.jpg,People,1.88,1-2,FEEL
72,Objects_253_v,Objects_253_v.jpg,Objects,3.64,3-4,TONE
73,Objects_289_h,Objects_289_h.jpg,Objects,5.92,5-6,TONE
74,Landscapes_028_h,Landscapes_028_h.jpg,Landscapes,3.83,3-4,FEEL
75,Faces_268_h,Faces_268_h.jpg,Faces,4.74,4-5,TONE
76,Faces_170_h,Faces_170_h.jpg,Faces,2.74,2-3,FEEL
77,Animals_207_h,Animals_207_h.jpg,Animals,3.06,3-4,TONE
78,Objects_321_h,Objects_321_h.jpg,Objects,6.53,6-7,FEEL
79,Landscapes_021_h,Landscapes_021_h.jpg,Landscapes,7.6,7-8,TONE
80,Landscapes_016_h,Landscapes_016_h.jpg,Landscapes,5.13,5-6,TONE
81,Objects_200_h,Objects_200_h.jpg,Objects,5.78,5-6,FEEL
82,Animals_029_v,Animals_029_v.jpg,Animals,3.1,3-4,TONE
83,Animals_015_h,Animals_015_h.jpg,Animals,4.57,4-5,TONE
84,Objects_282_h,Objects_282_h.jpg,Objects,4.36,4-5,FEEL
85,People_203_v,People_203_v.jpg,People,4.73,4-5,FEEL
86,Landscapes_101_v,Landscapes_101_v.jpg,Landscapes,6.39,6-7,TONE
87,Landscapes_063_h,Landscapes_063_h.jpg,Landscapes,5.49,5-6,FEEL
88,Faces_266_h,Faces_266_h.jpg,Faces,4.5,4-5,FEEL
89,Faces_044_h,Faces_044_h.jpg,Faces,6.06,6-7,FEEL
90,Faces_109_v,Faces_109_v.jpg,Faces,8.17,8-9,FEEL
91,Landscapes_173_h,Landscapes_173_h.jpg,Landscapes,7.43,7-8,FEEL
92,People_179_h,People_179_h.jpg,People,7.25,7-8,TONE
93,People_163_v,People_163_v.jpg,People,6.02,6-7,FEEL
94,Objects_236_h,Objects_236_h.jpg,Objects,4.06,4-5,FEEL
95,People_037_h,People_037_h.jpg,People,3.65,3-4,FEEL
96,Objects_281_h,Objects_281_h.jpg,Objects,4.56,4-5,TONE
97,Animals_164_h,Animals_164_h.jpg,Animals,5.96,5-6,FEEL
98,Animals_144_h,Animals_144_h.jpg,Animals,6.08,6-7,TONE
99,People_183_h,People_183_h.jpg,People,7.31,7-8,TONE
100,Animals_049_h,Animals_049_h.jpg,Animals,3.7,3-4,FEEL
101,Animals_165_h,Animals_165_h.jpg,Animals,6.92,6-7,TONE
102,Faces_166_h,Faces_166_h.jpg,Faces,4.72,4-5,TONE
103,Landscapes_066_h,Landscapes_066_h.jpg,Landscapes,3.92,3-4,TONE
104,People_146_h,People_146_h.jpg,People,4.94,4-5,FEEL
105,Faces_368_h,Faces_368_h.jpg,Faces,2.79,2-3,TONE
106,Faces_191_v,Faces_191_v.jpg,Faces,5.21,5-6,FEEL
107,People_205_v,People_205_v.jpg,People,2.09,2-3,TONE
108,Objects_308_h,Objects_308_h.jpg,Objects,5.02,5-6,TONE
109,Faces_031_v,Faces_031_v.jpg,Faces,2.79,2-3,FEEL
110,People_150_h,People_150_h.jpg,People,5.21,5-6,TONE
111,People_034_h,People_034_h.jpg,People,4.29,4-5,TONE
112,Animals_031_h,Animals_031_h.jpg,Animals,4.58,4-5,TONE
