trial,ID,filename,Category,Valence,val_bin,condition
1,Animals_097_h,Animals_097_h.jpg,Animals,6.48,6-7,FEEL
2,Animals_014_h,Animals_014_h.jpg,Animals,5.14,5-6,FEEL
3,Faces_299_h,Faces_299_h.jpg,Faces,4.35,4-5,TONE
4,Objects_179_h,Objects_179_h.jpg,Objects,4.85,4-5,FEEL
5,Objects_297_h,Objects_297_h.jpg,Objects,6.0,5-6,TONE
6,Faces_152_h,Faces_152_h.jpg,Faces,2.71,2-3,FEEL
7,Objects_283_h,Objects_283_h.jpg,Objects,2.62,2-3,FEEL
8,Landscapes_024_v,Landscapes_024_v.jpg,Landscapes,4.8,4-5,TONE
9,Objects_171_h,Objects_171_h.jpg,Objects,7.06,7-8,TONE
10,Animals_145_h,Animals_145_h.jpg,Animals,5.49,5-6,FEEL
11,Animals_013_h,Animals_013_h.jpg,Animals,2.9,2-3,TONE
12,Faces_149_v,Faces_149_v.jpg,Faces,2.3,2-3,TONE
13,Objects_120_h,Objects_120_h.jpg,Objects,3.58,3-4,TONE
14,Faces_042_h,Faces_042_h.jpg,Faces,6.85,6-7,TONE
15,Animals_028_h,Animals_028_h.jpg,Animals,5.55,5-6,TONE
16,Faces_227_v,Faces_227_v.jpg,Faces,7.25,7-8,FEEL
17,Animals_132_h,Animals_132_h.jpg,Animals,7.08,7-8,FEEL
18,Objects_301_h,Objects_301_h.jpg,Objects,6.17,6-7,TONE
19,Objects_327_h,Objects_327_h.jpg,Objects,7.67,7-8,FEEL
20,People_051_h,People_051_h.jpg,People,7.92,7-8,TONE
21,Landscapes_037_v,Landscapes_037_v.jpg,Landscapes,5.87,5-6,FEEL
22,Objects_126_h,Objects_126_h.jpg,Objects,3.28,3-4,TONE
23,People_210_h,People_210_h.jpg,People,3.84,3-4,TONE
24,Faces_036_h,Faces_036_h.jpg,Faces,4.23,4-5,TONE
25,Faces_274_h,Faces_274_h.jpg,Faces,3.4,3-4,TONE
26,Objects_270_h,Objects_270_h.jpg,Objects,6.98,6-7,FEEL
27,People_171_v,People_171_v.jpg,People,6.93,6-7,TONE
28,Objects_316_h,Objects_316_h.jpg,Objects,5.95,5-6,TONE
29,Faces_028_h,Faces_028_h.jpg,Faces,2.75,2-3,TONE
30,Objects_138_h,Objects_138_h.jpg,Objects,4.46,4-5,FEEL
31,Faces_084_v,Faces_084_v.jpg,Faces,6.86,6-7,FEEL
32,People_141_h,People_141_h.jpg,People,4.15,4-5,FEEL
33,Animals_177_h,Animals_177_h.jpg,Animals,8.09,8-9,FEEL
34,Landscapes_023_h,Landscapes_023_h.jpg,Landscapes,6.66,6-7,TONE
35,People_196_h,People_196_h.jpg,People,7.58,7-8,FEEL
36,People_193_h,People_193_h.jpg,People,7.3,7-8,TONE
37,People_007_h,People_007_h.jpg,People,3.15,3-4,FEEL
38,Objects_096_v,Objects_096_v.jpg,Objects,7.46,7-8,FEEL
39,Animals_116_h,Animals_116_h.jpg,Animals,7.02,7-8,FEEL
40,Landscapes_165_h,Landscapes_165_h.jpg,Landscapes,8.22,8-9,TONE
41,Faces_027_h,Faces_027_h.jpg,Faces,3.67,3-4,TONE
42,Objects_133_h,Objects_133_h.jpg,Objects,4.15,4-5,TONE
43,People_246_h,People_246_h.jpg,People,1.96,1-2,TONE
44,Faces_013_h,Faces_013_h.jpg,Faces,3.11,3-4,FEEL
45,Landscapes_086_v,Landscapes_086_v.jpg,Landscapes,6.4,6-7,FEEL
46,People_158_h,People_158_h.jpg,People,6.06,6-7,FEEL
47,Landscapes_034_h,Landscapes_034_h.jpg,Landscapes,7.04,7-8,TONE
48,People_027_h,People_027_h.jpg,People,6.18,6-7,FEEL
49,Faces_202_v,Faces_202_v.jpg,Faces,4.56,4-5,FEEL
50,Landscapes_070_h,Landscapes_070_h.jpg,Landscapes,3.96,3-4,TONE
51,Faces_091_v,Faces_091_v.jpg,Faces,7.08,7-8,TONE
52,Faces_189_v,Faces_189_v.jpg,Faces,5.56,5-6,TONE
53,Objects_032_v,Objects_032_v.jpg,Objects,6.65,6-7,TONE
54,Faces_290_h,Faces_290_h.jpg,Faces,2.77,2-3,TONE
55,Faces_161_h,Faces_161_h.jpg,Faces,4.22,4-5,FEEL
56,Objects_002_h,Objects_002_h.jpg,Objects,2.66,2-3,TONE
57,People_080_h,People_080_h.jpg,People,4.02,4-5,TONE
58,Objects_144_h,Objects_144_h.jpg,Objects,3.0,2-3,FEEL
59,Animals_053_h,Animals_053_h.jpg,Animals,3.49,3-4,TONE
60,People_149_h,People_149_h.jpg,People,5.49,5-6,FEEL
61,Landscapes_079_v,Landscapes_079_v.jpg,Landscapes,5.09,5-6,FEEL
62,Objects_149_h,Objects_149_h.jpg,Objects,2.28,2-3,TONE
63,Objects_150_h,Objects_150_h.jpg,Objects,3.64,3-4,FEEL
64,People_097_h,People_097_h.jpg,People,5.27,5-6,FEEL
65,Landscapes_084_v,Landscapes_084_v.jpg,Landscapes,5.4,5-6,FEEL
66,Animals_033_h,Animals_033_h.jpg,Animals,2.41,2-3,FEEL
67,Faces_132_h,Faces_132_h.jpg,Faces,6.85,6-7,TONE
68,Landscapes_142_h,Landscapes_142_h.jpg,Landscapes,7.67,7-8,TONE
69,People_144_h,People_144_h.jpg,People,2.96,2-3,FEEL
70,People_056_h,People_056_h.jpg,People,5.53,5-6,TONE
71,Objects_020_h,Objects_020_h.jpg,Objects,5.91,5-6,TONE
72,Animals_111_h,Animals_111_h.jpg,Animals,4.78,4-5,FEEL
73,Animals_206_h,Animals_206_h.jpg,Animals,7.02,7-8,TONE
74,People_227_h,People_227_h.jpg,People,1.86,1-2,FEEL
75,People_133_h,People_133_h.jpg,People,3.0,2-3,TONE
76,Objects_252_h,Objects_252_h.jpg,Objects,4.41,4-5,FEEL
77,Landscapes_088_v,Landscapes_088_v.jpg,Landscapes,7.31,7-8,TONE
78,Faces_256_h,Faces_256_h.jpg,Faces,6.89,6-7,TONE
79,Faces_280_h,Faces_280_h.jpg,Faces,3.94,3-4,FEEL
80,Faces_286_h,Faces_286_h.jpg,Faces,5.09,5-6,FEEL
81,Objects_292_h,Objects_292_h.jpg,Objects,5.75,5-6,TONE
82,Landscapes_126_h,Landscapes_126_h.jpg,Landscapes,7.06,7-8,FEEL
83,People_013_v,People_013_v.jpg,People,2.53,2-3,TONE
84,Landscapes_010_h,Landscapes_010_h.jpg,Landscapes,3.29,3-4,FEEL
85,Objects_140_h,Objects_140_h.jpg,Objects,3.79,3-4,TONE
86,Animals_061_h,Animals_061_h.jpg,Animals,4.2,4-5,TONE
87,Landscapes_015_h,Landscapes_015_h.jpg,Landscapes,4.59,4-5,TONE
88,Animals_078_h,Animals_078_h.jpg,Animals,2.26,2-3,FEEL
89,Animals_198_h,Animals_198_h.jpg,Animals,6.24,6-7,TONE
90,People_087_h,People_087_h.jpg,People,3.57,3-4,FEEL
91,People_057_h,People_057_h.jpg,People,4.47,4-5,FEEL
92,People_074_v,People_074_v.jpg,People,3.88,3-4,TONE
93,Landscapes_017_h,Landscapes_017_h.jpg,Landscapes,3.21,3-4,FEEL
94,Animals_176_h,Animals_176_h.jpg,Animals,6.46,6-7,TONE
95,Animals_042_h,Animals_042_h.jpg,Animals,2.82,2-3,FEEL
96,Faces_365_v,Faces_365_v.jpg,Faces,1.98,1-2,TONE
97,Animals_121_h,Animals_121_h.jpg,Animals,5.96,5-6,TONE
98,Animals_134_h,Animals_134_h.jpg,Animals,7.1,7-8,FEEL
99,Animals_004_v,Animals_004_v.jpg,Animals,4.5,4-5,TONE
100,Landscapes_045_h,Landscapes_045_h.jpg,Landscapes,4.1,4-5,FEEL
101,Animals_017_v,Animals_017_v.jpg,Animals,3.23,3-4,FEEL
102,Animals_019_h,Animals_019_h.jpg,Animals,2.68,2-3,FEEL
103,Faces_005_h,Faces_005_h.jpg,Faces,5.64,5-6,TONE
104,Objects_240_h,Objects_240_h.jpg,Objects,6.37,6-7,FEEL
105,Faces_106_h,Faces_106_h.jpg,Faces,7.35,7-8,FEEL
106,Animals_050_h,Animals_050_h.jpg,Animals,3.55,3-4,FEEL
107,People_108_h,People_108_h.jpg,People,7.52,7-8,TONE
108,People_190_h,People_190_h.jpg,People,8.22,8-9,TONE
109,People_066_v,People_066_v.jpg,People,4.93,4-5,TONE
110,Faces_255_v,Faces_255_v.jpg,Faces,5.95,5-6,FEEL
111,Landscapes_048_h,Landscapes_048_h.jpg,Landscapes,6.74,6-7,FEEL
112,People_222_h,People_222_h.jpg,People,2.17,2-3,TONE
