trial,ID,filename,Category,Valence,val_bin,condition
1,Objects_085_h,Objects_085_h.jpg,Objects,6.75,6-7,FEEL
2,Landscapes_032_v,Landscapes_032_v.jpg,Landscapes,4.29,4-5,TONE
3,Animals_220_h,Animals_220_h.jpg,Animals,8.02,8-9,TONE
4,Landscapes_031_h,Landscapes_031_h.jpg,Landscapes,5.59,5-6,FEEL
5,People_049_h,People_049_h.jpg,People,6.28,6-7,FEEL
6,People_014_h,People_014_h.jpg,People,4.33,4-5,FEEL
7,Animals_139_h,Animals_139_h.jpg,Animals,6.37,6-7,FEEL
8,Landscapes_002_h,Landscapes_002_h.jpg,Landscapes,2.8,2-3,FEEL
9,Objects_132_h,Objects_132_h.jpg,Objects,2.88,2-3,TONE
10,Faces_058_h,Faces_058_h.jpg,Faces,5.9,5-6,TONE
11,Animals_030_h,Animals_030_h.jpg,Animals,4.74,4-5,FEEL
12,Animals_127_h,Animals_127_h.jpg,Animals,5.07,5-6,FEEL
13,Animals_021_h,Animals_021_h.jpg,Animals,4.6,4-5,FEEL
14,People_168_h,People_168_h.jpg,People,7.39,7-8,FEEL
15,People_220_h,People_220_h.jpg,People,1.98,1-2,TONE
16,Faces_016_h,Faces_016_h.jpg,Faces,2.92,2-3,TONE
17,Objects_031_h,Objects_031_h.jpg,Objects,5.98,5-6,TONE
18,Faces_175_v,Faces_175_v.jpg,Faces,3.54,3-4,TONE
19,Objects_097_h,Objects_097_h.jpg,Objects,7.21,7-8,TONE
20,Animals_075_h,Animals_075_h.jpg,Animals,3.04,3-4,FEEL
21,Animals_192_h,Animals_192_h.jpg,Animals,6.72,6-7,FEEL
22,Animals_001_h,Animals_001_h.jpg,Animals,2.57,2-3,FEEL
23,Animals_112_v,Animals_112_v.jpg,Animals,6.68,6-7,FEEL
24,Objects_248_h,Objects_248_h.jpg,Objects,4.37,4-5,TONE
25,Faces_285_h,Faces_285_h.jpg,Faces,3.29,3-4,FEEL
26,Faces_022_h,Faces_022_h.jpg,Faces,4.76,4-5,TONE
27,Animals_008_v,Animals_008_v.jpg,Animals,2.63,2-3,FEEL
28,Faces_372_h,Faces_372_h.jpg,Faces,3.76,3-4,TONE
29,Animals_045_h,Animals_045_h.jpg,Animals,3.02,3-4,TONE
30,Faces_154_h,Faces_154_h.jpg,Faces,4.06,4-5,TONE
31,Objects_003_h,Objects_003_h.jpg,Objects,2.39,2-3,FEEL
32,Objects_079_h,Objects_079_h.jpg,Objects,6.94,6-7,FEEL
33,Animals_211_h,Animals_211_h.jpg,Animals,5.67,5-6,TONE
34,People_199_v,People_199_v.jpg,People,2.79,2-3,TONE
35,Landscapes_041_h,Landscapes_041_h.jpg,Landscapes,6.81,6-7,FEEL
36,People_091_h,People_091_h.jpg,People,5.26,5-6,FEEL
37,People_036_h,People_036_h.jpg,People,4.77,4-5,FEEL
38,Landscapes_055_h,Landscapes_055_h.jpg,Landscapes,6.02,6-7,FEEL
39,People_129_h,People_129_h.jpg,People,3.52,3-4,FEEL
40,Landscapes_154_h,Landscapes_154_h.jpg,Landscapes,8.27,8-9,FEEL
41,People_187_h,People_187_h.jpg,People,7.84,7-8,TONE
42,Landscapes_074_h,Landscapes_074_h.jpg,Landscapes,4.04,4-5,FEEL
43,Faces_335_h,Faces_335_h.jpg,Faces,6.23,6-7,TONE
44,Objects_319_h,Objects_319_h.jpg,Objects,6.24,6-7,TONE
45,Landscapes_026_h,Landscapes_026_h.jpg,Landscapes,2.48,2-3,TONE
46,Landscapes_054_h,Landscapes_054_h.jpg,Landscapes,7.6,7-8,FEEL
47,Faces_181_v,Faces_181_v.jpg,Faces,6.72,6-7,TONE
48,Landscapes_185_v,Landscapes_185_v.jpg,Landscapes,7.86,7-8,FEEL
49,Animals_067_h,Animals_067_h.jpg,Animals,2.96,2-3,FEEL
50,Objects_201_v,Objects_201_v.jpg,Objects,6.0,5-6,TONE
51,Faces_142_h,Faces_142_h.jpg,Faces,4.3,4-5,TONE
52,Animals_090_h,Animals_090_h.jpg,Animals,7.44,7-8,FEEL
53,People_101_h,People_101_h.jpg,People,6.86,6-7,FEEL
54,People_016_h,People_016_h.jpg,People,2.45,2-3,FEEL
55,People_010_h,People_010_h.jpg,People,3.37,3-4,TONE
56,People_245_v,People_245_v.jpg,People,3.42,3-4,FEEL
57,Objects_095_h,Objects_095_h.jpg,Objects,6.42,6-7,TONE
58,Faces_283_h,Faces_283_h.jpg,Faces,2.48,2-3,TONE
59,Objects_158_h,Objects_158_h.jpg,Objects,3.45,3-4,FEEL
60,Faces_250_h,Faces_250_h.jpg,Faces,5.73,5-6,TONE
61,Faces_284_h,Faces_284_h.jpg,Faces,2.43,2-3,TONE
62,Objects_218_h,Objects_218_h.jpg,Objects,3.41,3-4,FEEL
63,People_004_h,People_004_h.jpg,People,2.85,2-3,TONE
64,People_198_h,People_198_h.jpg,People,1.58,1-2,FEEL
65,Animals_077_h,Animals_077_h.jpg,Animals,2.02,2-3,FEEL
66,Landscapes_169_h,Landscapes_169_h.jpg,Landscapes,6.34,6-7,TONE
67,Faces_108_h,Faces_108_h.jpg,Faces,7.47,7-8,TONE
68,People_110_h,People_110_h.jpg,People,8.11,8-9,TONE
69,Faces_177_v,Faces_177_v.jpg,Faces,4.47,4-5,FEEL
70,Faces_089_h,Faces_089_h.jpg,Faces,7.85,7-8,TONE
71,Objects_206_h,Objects_206_h.jpg,Objects,3.89,3-4,FEEL
