trial,ID,filename,Category,Valence,val_bin,condition
1,Animals_169_h,Animals_169_h.jpg,Animals,6.98,7-Jun,TONE
2,Landscapes_005_h,Landscapes_005_h.jpg,Landscapes,3.13,4-Mar,FEEL
3,Animals_038_h,Animals_038_h.jpg,Animals,2.96,3-Feb,FEEL
4,Faces_109_v,Faces_109_v.jpg,Faces,8.17,9-Aug,TONE
5,People_113_h,People_113_h.jpg,People,8.05,9-Aug,TONE
6,Animals_179_h,Animals_179_h.jpg,Animals,7.51,8-Jul,TONE
7,People_249_h,People_249_h.jpg,People,5.64,6-May,FEEL
8,Animals_084_h,Animals_084_h.jpg,Animals,3.83,4-Mar,FEEL
9,Objects_097_h,Objects_097_h.jpg,Objects,7.21,8-Jul,FEEL
10,People_102_h,People_102_h.jpg,People,5.88,6-May,FEEL
11,Objects_306_h,Objects_306_h.jpg,Objects,5.41,6-May,TONE
12,People_218_v,People_218_v.jpg,People,1.84,2-Jan,TONE
13,Animals_024_h,Animals_024_h.jpg,Animals,2.44,3-Feb,TONE
14,Objects_151_h,Objects_151_h.jpg,Objects,3.82,4-Mar,FEEL
15,People_206_h,People_206_h.jpg,People,3.36,4-Mar,FEEL
16,Objects_081_h,Objects_081_h.jpg,Objects,7.16,8-Jul,FEEL
17,People_162_h,People_162_h.jpg,People,6.76,7-Jun,TONE
18,Faces_117_h,Faces_117_h.jpg,Faces,6.56,7-Jun,FEEL
19,People_226_h,People_226_h.jpg,People,1.81,2-Jan,FEEL
20,Animals_022_h,Animals_022_h.jpg,Animals,5.74,6-May,TONE
21,People_089_h,People_089_h.jpg,People,6.36,7-Jun,TONE
22,Objects_215_v,Objects_215_v.jpg,Objects,4.08,5-Apr,TONE
23,People_157_h,People_157_h.jpg,People,6.29,7-Jun,TONE
24,Landscapes_102_h,Landscapes_102_h.jpg,Landscapes,7.18,8-Jul,FEEL
25,Landscapes_154_h,Landscapes_154_h.jpg,Landscapes,8.27,9-Aug,TONE
26,Faces_180_h,Faces_180_h.jpg,Faces,5.27,6-May,TONE
27,People_240_h,People_240_h.jpg,People,1.82,2-Jan,TONE
28,Faces_080_h,Faces_080_h.jpg,Faces,7.38,8-Jul,FEEL
29,Landscapes_058_h,Landscapes_058_h.jpg,Landscapes,4.04,5-Apr,TONE
30,Objects_129_h,Objects_129_h.jpg,Objects,6.26,7-Jun,TONE
31,Landscapes_122_v,Landscapes_122_v.jpg,Landscapes,7.7,8-Jul,TONE
32,Faces_313_h,Faces_313_h.jpg,Faces,6.61,7-Jun,FEEL
33,Animals_213_h,Animals_213_h.jpg,Animals,5.98,6-May,FEEL
34,Animals_166_v,Animals_166_v.jpg,Animals,8.27,9-Aug,FEEL
35,Landscapes_108_v,Landscapes_108_v.jpg,Landscapes,6.8,7-Jun,FEEL
36,Animals_177_h,Animals_177_h.jpg,Animals,8.09,9-Aug,FEEL
37,People_050_v,People_050_v.jpg,People,7.34,8-Jul,TONE
38,Animals_018_h,Animals_018_h.jpg,Animals,3.34,4-Mar,FEEL
39,Animals_074_h,Animals_074_h.jpg,Animals,1.7,2-Jan,FEEL
40,Landscapes_019_h,Landscapes_019_h.jpg,Landscapes,5.18,6-May,FEEL
41,Landscapes_116_v,Landscapes_116_v.jpg,Landscapes,8.05,9-Aug,TONE
42,Faces_021_h,Faces_021_h.jpg,Faces,3.76,4-Mar,TONE
43,Animals_197_h,Animals_197_h.jpg,Animals,6.83,7-Jun,FEEL
44,Faces_364_v,Faces_364_v.jpg,Faces,1.76,2-Jan,FEEL
45,Faces_321_h,Faces_321_h.jpg,Faces,7.34,8-Jul,TONE
46,People_121_h,People_121_h.jpg,People,3.31,4-Mar,FEEL
47,Landscapes_118_v,Landscapes_118_v.jpg,Landscapes,3.08,4-Mar,TONE
48,Landscapes_183_h,Landscapes_183_h.jpg,Landscapes,8.31,9-Aug,FEEL
49,Faces_295_h,Faces_295_h.jpg,Faces,6.02,7-Jun,TONE
50,People_183_h,People_183_h.jpg,People,7.31,8-Jul,TONE
51,Animals_151_v,Animals_151_v.jpg,Animals,4.4,5-Apr,TONE
52,Faces_277_h,Faces_277_h.jpg,Faces,4.77,5-Apr,FEEL
53,Animals_100_h,Animals_100_h.jpg,Animals,7.42,8-Jul,FEEL
54,Landscapes_022_h,Landscapes_022_h.jpg,Landscapes,2.75,3-Feb,FEEL
55,People_190_h,People_190_h.jpg,People,8.22,9-Aug,TONE
56,Faces_365_v,Faces_365_v.jpg,Faces,1.98,2-Jan,FEEL
