trial,ID,filename,Category,Valence,val_bin,condition
1,Animals_169_h,Animals_169_h.jpg,Animals,6.98,6-7,TONE
2,Landscapes_005_h,Landscapes_005_h.jpg,Landscapes,3.13,3-4,FEEL
3,Animals_038_h,Animals_038_h.jpg,Animals,2.96,2-3,FEEL
4,Faces_109_v,Faces_109_v.jpg,Faces,8.17,8-9,TONE
5,People_113_h,People_113_h.jpg,People,8.05,8-9,TONE
6,Animals_179_h,Animals_179_h.jpg,Animals,7.51,7-8,TONE
7,People_249_h,People_249_h.jpg,People,5.64,5-6,FEEL
8,Animals_084_h,Animals_084_h.jpg,Animals,3.83,3-4,FEEL
9,Objects_097_h,Objects_097_h.jpg,Objects,7.21,7-8,FEEL
10,People_102_h,People_102_h.jpg,People,5.88,5-6,FEEL
11,Objects_306_h,Objects_306_h.jpg,Objects,5.41,5-6,TONE
12,People_218_v,People_218_v.jpg,People,1.84,1-2,TONE
13,Animals_024_h,Animals_024_h.jpg,Animals,2.44,2-3,TONE
14,Objects_151_h,Objects_151_h.jpg,Objects,3.82,3-4,FEEL
15,People_206_h,People_206_h.jpg,People,3.36,3-4,FEEL
16,Objects_081_h,Objects_081_h.jpg,Objects,7.16,7-8,FEEL
17,People_162_h,People_162_h.jpg,People,6.76,6-7,TONE
18,Faces_117_h,Faces_117_h.jpg,Faces,6.56,6-7,FEEL
19,People_226_h,People_226_h.jpg,People,1.81,1-2,FEEL
20,Animals_022_h,Animals_022_h.jpg,Animals,5.74,5-6,TONE
21,People_089_h,People_089_h.jpg,People,6.36,6-7,TONE
22,Objects_215_v,Objects_215_v.jpg,Objects,4.08,4-5,TONE
23,People_157_h,People_157_h.jpg,People,6.29,6-7,TONE
24,Landscapes_102_h,Landscapes_102_h.jpg,Landscapes,7.18,7-8,FEEL
25,Landscapes_154_h,Landscapes_154_h.jpg,Landscapes,8.27,8-9,TONE
26,Faces_180_h,Faces_180_h.jpg,Faces,5.27,5-6,TONE
27,People_240_h,People_240_h.jpg,People,1.82,1-2,TONE
28,Faces_080_h,Faces_080_h.jpg,Faces,7.38,7-8,FEEL
29,Landscapes_058_h,Landscapes_058_h.jpg,Landscapes,4.04,4-5,TONE
30,Objects_129_h,Objects_129_h.jpg,Objects,6.26,6-7,TONE
31,Landscapes_122_v,Landscapes_122_v.jpg,Landscapes,7.7,7-8,TONE
32,Faces_313_h,Faces_313_h.jpg,Faces,6.61,6-7,FEEL
33,Animals_213_h,Animals_213_h.jpg,Animals,5.98,5-6,FEEL
34,Animals_166_v,Animals_166_v.jpg,Animals,8.27,8-9,FEEL
35,Landscapes_108_v,Landscapes_108_v.jpg,Landscapes,6.8,6-7,FEEL
36,Animals_177_h,Animals_177_h.jpg,Animals,8.09,8-9,FEEL
37,People_050_v,People_050_v.jpg,People,7.34,7-8,TONE
38,Animals_018_h,Animals_018_h.jpg,Animals,3.34,3-4,FEEL
39,Animals_074_h,Animals_074_h.jpg,Animals,1.7,1-2,FEEL
40,Landscapes_019_h,Landscapes_019_h.jpg,Landscapes,5.18,5-6,FEEL
41,Landscapes_116_v,Landscapes_116_v.jpg,Landscapes,8.05,8-9,TONE
42,Faces_021_h,Faces_021_h.jpg,Faces,3.76,3-4,TONE
43,Animals_197_h,Animals_197_h.jpg,Animals,6.83,6-7,FEEL
44,Faces_364_v,Faces_364_v.jpg,Faces,1.76,1-2,FEEL
45,Faces_321_h,Faces_321_h.jpg,Faces,7.34,7-8,TONE
46,People_121_h,People_121_h.jpg,People,3.31,3-4,FEEL
47,Landscapes_118_v,Landscapes_118_v.jpg,Landscapes,3.08,3-4,TONE
48,Landscapes_183_h,Landscapes_183_h.jpg,Landscapes,8.31,8-9,FEEL
49,Faces_295_h,Faces_295_h.jpg,Faces,6.02,6-7,TONE
50,People_183_h,People_183_h.jpg,People,7.31,7-8,TONE
51,Animals_151_v,Animals_151_v.jpg,Animals,4.4,4-5,TONE
52,Faces_277_h,Faces_277_h.jpg,Faces,4.77,4-5,FEEL
53,Animals_100_h,Animals_100_h.jpg,Animals,7.42,7-8,FEEL
54,Landscapes_022_h,Landscapes_022_h.jpg,Landscapes,2.75,2-3,FEEL
55,People_190_h,People_190_h.jpg,People,8.22,8-9,TONE
56,Faces_365_v,Faces_365_v.jpg,Faces,1.98,1-2,FEEL
57,Animals_146_h,Animals_146_h.jpg,Animals,6.57,6-7,FEEL
58,Landscapes_120_v,Landscapes_120_v.jpg,Landscapes,8.31,8-9,FEEL
59,Landscapes_180_h,Landscapes_180_h.jpg,Landscapes,8.54,8-9,TONE
60,Animals_009_v,Animals_009_v.jpg,Animals,5.79,5-6,FEEL
61,Landscapes_141_h,Landscapes_141_h.jpg,Landscapes,8.04,8-9,FEEL
62,Objects_144_h,Objects_144_h.jpg,Objects,3.0,2-3,FEEL
63,Landscapes_021_h,Landscapes_021_h.jpg,Landscapes,7.6,7-8,TONE
64,Landscapes_156_h,Landscapes_156_h.jpg,Landscapes,4.19,4-5,FEEL
65,Faces_037_h,Faces_037_h.jpg,Faces,4.14,4-5,FEEL
66,People_110_h,People_110_h.jpg,People,8.11,8-9,FEEL
67,Objects_118_v,Objects_118_v.jpg,Objects,4.2,4-5,FEEL
68,Animals_056_h,Animals_056_h.jpg,Animals,1.86,1-2,TONE
69,Animals_047_h,Animals_047_h.jpg,Animals,4.94,4-5,TONE
70,People_023_h,People_023_h.jpg,People,3.06,3-4,TONE
71,Objects_206_h,Objects_206_h.jpg,Objects,3.89,3-4,TONE
72,Objects_132_h,Objects_132_h.jpg,Objects,2.88,2-3,TONE
73,People_238_h,People_238_h.jpg,People,1.33,1-2,TONE
74,Objects_085_h,Objects_085_h.jpg,Objects,6.75,6-7,FEEL
75,Faces_367_h,Faces_367_h.jpg,Faces,1.65,1-2,TONE
76,Faces_159_h,Faces_159_h.jpg,Faces,1.93,1-2,TONE
77,Animals_133_h,Animals_133_h.jpg,Animals,4.85,4-5,TONE
78,Faces_060_h,Faces_060_h.jpg,Faces,5.21,5-6,TONE
79,People_127_h,People_127_h.jpg,People,2.15,2-3,FEEL
