ID,Valence,Category,val_bin,condition
Animals_072_h,5.0,Animals,4-5,FEEL
Objects_309_h,6.0,Objects,5-6,TONE
9913.0,1.9100000000000001,Truck,1-2,TONE
Objects_165_v,4.48,Objects,4-5,TONE
Objects_107_h,4.04,Objects,4-5,FEEL
Faces_348_h,6.69,Faces,6-7,FEEL
Objects_012_h,3.86,Objects,3-4,FEEL
People_239_h,2.4,People,2-3,FEEL
Animals_048_h,2.85,Animals,2-3,FEEL
Objects_164_h,4.25,Objects,4-5,FEEL
Faces_181_v,6.72,Faces,6-7,FEEL
Animals_082_h,5.52,Animals,5-6,FEEL
Animals_044_h,5.32,Animals,5-6,TONE
Landscapes_152_h,7.52,Landscapes,7-8,TONE
9903.0,2.0,CarAccident,1-2,FEEL
Objects_003_h,2.39,Objects,2-3,TONE
People_138_h,5.92,People,5-6,FEEL
Landscapes_009_h,6.46,Landscapes,6-7,TONE
1590.0,8.02,Horse,8-9,FEEL
Landscapes_098_h,7.87,Landscapes,7-8,FEEL
Landscapes_028_h,3.83,Landscapes,3-4,TONE
Landscapes_139_h,2.43,Landscapes,2-3,FEEL
Objects_232_h,3.55,Objects,3-4,TONE
Landscapes_135_h,5.58,Landscapes,5-6,TONE
People_043_h,7.64,People,7-8,FEEL
Faces_292_h,5.18,Faces,5-6,TONE
Faces_003_h,3.1,Faces,3-4,FEEL
Objects_077_h,7.71,Objects,7-8,FEEL
Faces_229_v,6.67,Faces,6-7,TONE
Faces_074_h,6.37,Faces,6-7,TONE
Faces_153_v,2.65,Faces,2-3,TONE
People_094_h,3.2,People,3-4,TONE
Animals_069_h,4.65,Animals,4-5,TONE
Faces_363_v,2.77,Faces,2-3,FEEL
People_081_v,3.81,People,3-4,TONE
People_100_h,5.15,People,5-6,FEEL
Faces_078_h,5.63,Faces,5-6,TONE
Faces_033_h,3.79,Faces,3-4,FEEL
Objects_092_v,6.02,Objects,6-7,TONE
People_017_h,2.96,People,2-3,FEEL
Landscapes_123_h,8.15,Landscapes,8-9,TONE
Animals_102_h,6.27,Animals,6-7,FEEL
People_066_v,4.93,People,4-5,FEEL
Faces_270_h,3.56,Faces,3-4,TONE
People_128_h,2.23,People,2-3,TONE
1300.0,8.2,PitBull,8-9,FEEL
People_126_h,3.55,People,3-4,TONE
1500.0,8.08,Dog,8-9,TONE
People_242_v,2.86,People,2-3,FEEL
People_057_h,4.47,People,4-5,FEEL
Faces_201_v,5.3,Faces,5-6,TONE
Landscapes_153_h,7.46,Landscapes,7-8,TONE
People_073_v,3.95,People,3-4,FEEL
Faces_368_h,2.79,Faces,2-3,TONE
Animals_157_h,7.29,Animals,7-8,FEEL
Faces_130_h,7.38,Faces,7-8,TONE
Objects_188_v,3.45,Objects,3-4,FEEL
Animals_019_h,2.68,Animals,2-3,FEEL
Faces_085_h,6.06,Faces,6-7,TONE
Objects_293_h,4.65,Objects,4-5,TONE
Faces_031_v,2.79,Faces,2-3,TONE
Animals_126_h,6.77,Animals,6-7,TONE
Faces_013_h,3.11,Faces,3-4,FEEL
9908.0,1.9700000000000006,CarAccident,1-2,TONE
Animals_071_h,2.35,Animals,2-3,TONE
Animals_143_h,4.24,Animals,4-5,FEEL
1051.0,8.49,Snake,8-9,FEEL
People_200_h,2.27,People,2-3,FEEL
Objects_079_h,6.94,Objects,6-7,FEEL
People_182_h,7.12,People,7-8,TONE
People_195_h,7.09,People,7-8,FEEL
Objects_223_h,5.2,Objects,5-6,FEEL
Landscapes_045_h,4.1,Landscapes,4-5,TONE
Objects_058_h,6.09,Objects,6-7,TONE
Landscapes_013_v,4.35,Landscapes,4-5,TONE
Faces_043_v,6.47,Faces,6-7,FEEL
Objects_067_h,5.02,Objects,5-6,TONE
1510.0,8.05,Dog,8-9,TONE
1030.0,8.55,Snake,8-9,TONE
Objects_138_h,4.46,Objects,4-5,FEEL
Landscapes_040_h,5.89,Landscapes,5-6,FEEL
People_014_h,4.33,People,4-5,TONE
Animals_188_h,7.22,Animals,7-8,TONE
Objects_274_h,5.12,Objects,5-6,FEEL
Objects_042_h,6.1,Objects,6-7,FEEL
Faces_273_h,3.75,Faces,3-4,TONE
1202.0,8.3,Spider,8-9,FEEL
Objects_289_h,5.92,Objects,5-6,FEEL
Animals_164_h,5.96,Animals,5-6,TONE
Faces_137_h,7.48,Faces,7-8,TONE
Objects_108_v,4.83,Objects,4-5,FEEL
Objects_123_h,3.66,Objects,3-4,TONE
People_176_h,7.49,People,7-8,TONE
People_198_h,1.58,People,1-2,FEEL
People_139_h,4.16,People,4-5,TONE
Animals_221_h,3.63,Animals,3-4,FEEL
9940.0,1.7200000000000006,Explosion,1-2,TONE
Landscapes_029_v,3.3,Landscapes,3-4,FEEL
People_115_h,7.9,People,7-8,FEEL
1111.0,8.41,Snakes,8-9,FEEL
Faces_282_h,6.45,Faces,6-7,FEEL
Animals_132_h,7.08,Animals,7-8,FEEL
Landscapes_069_v,6.09,Landscapes,6-7,TONE
1560.0,8.03,Hawk,8-9,TONE
People_013_v,2.53,People,2-3,TONE
Objects_297_h,6.0,Objects,5-6,FEEL
Faces_098_h,6.92,Faces,6-7,FEEL
1080.0,8.44,Snake,8-9,TONE
Animals_001_h,2.57,Animals,2-3,TONE
People_067_h,7.52,People,7-8,TONE
Faces_154_h,4.06,Faces,4-5,TONE
1321.0,8.17,Bear,8-9,FEEL
