ID,Valence,Category,val_bin,condition
Animals_075_h,3.04,Animals,3-4,FEEL
Objects_181_h,4.34,Objects,4-5,FEEL
Objects_323_h,6.96,Objects,6-7,FEEL
Landscapes_093_h,5.41,Landscapes,5-6,FEEL
Objects_286_h,4.33,Objects,4-5,TONE
Animals_027_h,2.55,Animals,2-3,TONE
People_142_h,2.85,People,2-3,FEEL
Objects_161_v,5.44,Objects,5-6,TONE
1240.0,8.21,Spider,8-9,TONE
Faces_029_h,4.55,Faces,4-5,TONE
Faces_283_h,2.48,Faces,2-3,FEEL
Objects_285_h,2.73,Objects,2-3,FEEL
People_130_h,7.17,People,7-8,FEEL
People_071_h,3.35,People,3-4,FEEL
Objects_133_h,4.15,Objects,4-5,TONE
Landscapes_113_h,7.67,Landscapes,7-8,TONE
1463.0,8.09,Kittens,8-9,FEEL
Landscapes_012_h,4.4,Landscapes,4-5,FEEL
1310.0,8.17,Leopard,8-9,FEEL
1525.0,8.05,AttackDog,8-9,TONE
Objects_045_h,4.8,Objects,4-5,TONE
Animals_091_h,6.56,Animals,6-7,FEEL
Landscapes_089_h,6.62,Landscapes,6-7,TONE
Landscapes_087_h,6.17,Landscapes,6-7,FEEL
Objects_322_h,6.42,Objects,6-7,TONE
Objects_284_h,3.77,Objects,3-4,TONE
People_134_h,3.8,People,3-4,FEEL
Faces_220_h,4.73,Faces,4-5,FEEL
People_215_h,2.59,People,2-3,FEEL
Objects_240_h,6.37,Objects,6-7,FEEL
People_036_h,4.77,People,4-5,FEEL
Landscapes_047_v,6.49,Landscapes,6-7,FEEL
Faces_145_v,2.29,Faces,2-3,FEEL
Objects_117_h,3.64,Objects,3-4,TONE
1540.0,8.04,Cat,8-9,TONE
1220.0,8.24,Spider,8-9,FEEL
Landscapes_103_v,7.83,Landscapes,7-8,FEEL
Faces_352_h,7.17,Faces,7-8,TONE
Faces_227_v,7.25,Faces,7-8,TONE
People_211_v,1.88,People,1-2,TONE
Faces_090_v,6.41,Faces,6-7,TONE
Objects_219_h,5.92,Objects,5-6,TONE
People_220_h,1.98,People,1-2,FEEL
Landscapes_114_v,7.21,Landscapes,7-8,TONE
Objects_328_h,3.78,Objects,3-4,FEEL
Faces_166_h,4.72,Faces,4-5,FEEL
1201.0,8.31,Spider,8-9,TONE
Landscapes_017_h,3.21,Landscapes,3-4,TONE
Objects_172_v,5.31,Objects,5-6,TONE
People_093_h,6.17,People,6-7,TONE
1205.0,8.29,Spider,8-9,FEEL
Faces_167_v,4.84,Faces,4-5,FEEL
Faces_151_v,3.14,Faces,3-4,FEEL
Faces_018_h,2.41,Faces,2-3,TONE
Faces_048_h,5.64,Faces,5-6,FEEL
People_082_h,3.0,People,2-3,TONE
Landscapes_111_h,5.48,Landscapes,5-6,TONE
Faces_032_h,2.63,Faces,2-3,TONE
Faces_331_h,6.6,Faces,6-7,TONE
People_149_h,5.49,People,5-6,FEEL
Animals_059_h,4.52,Animals,4-5,FEEL
Objects_229_h,3.9,Objects,3-4,FEEL
Faces_076_h,6.92,Faces,6-7,TONE
Faces_171_v,4.75,Faces,4-5,FEEL
Faces_187_v,5.25,Faces,5-6,FEEL
Objects_001_h,2.72,Objects,2-3,FEEL
Faces_148_h,3.71,Faces,3-4,TONE
1460.0,8.09,Kitten,8-9,FEEL
Faces_174_h,2.59,Faces,2-3,FEEL
Objects_226_h,4.98,Objects,4-5,TONE
Objects_201_v,6.0,Objects,5-6,FEEL
Objects_294_h,5.94,Objects,5-6,TONE
1270.0,8.21,Roach,8-9,TONE
People_208_h,1.85,People,1-2,TONE
Animals_077_h,2.02,Animals,2-3,FEEL
Animals_083_h,5.23,Animals,5-6,TONE
Landscapes_128_h,7.42,Landscapes,7-8,TONE
Faces_175_v,3.54,Faces,3-4,TONE
Faces_356_h,7.65,Faces,7-8,FEEL
Faces_038_h,4.28,Faces,4-5,TONE
Objects_019_h,4.47,Objects,4-5,TONE
1114.0,8.379999999999999,Snake,8-9,FEEL
Animals_033_h,2.41,Animals,2-3,TONE
Faces_106_h,7.35,Faces,7-8,FEEL
Landscapes_134_h,7.66,Landscapes,7-8,FEEL
Objects_185_h,5.18,Objects,5-6,TONE
Objects_319_h,6.24,Objects,6-7,FEEL
People_031_v,2.28,People,2-3,TONE
Landscapes_014_h,3.33,Landscapes,3-4,TONE
People_096_h,7.78,People,7-8,TONE
Animals_185_h,6.94,Animals,6-7,FEEL
Objects_040_v,6.98,Objects,6-7,TONE
Landscapes_147_h,7.39,Landscapes,7-8,FEEL
Faces_269_v,3.53,Faces,3-4,TONE
Objects_157_h,2.93,Objects,2-3,TONE
9912.0,1.9399999999999995,Firefighter,1-2,FEEL
Faces_225_v,5.51,Faces,5-6,FEEL
Faces_361_v,7.09,Faces,7-8,TONE
Faces_355_h,6.08,Faces,6-7,FEEL
Objects_279_h,5.43,Objects,5-6,TONE
Faces_333_h,7.02,Faces,7-8,FEEL
People_015_h,3.77,People,3-4,FEEL
Objects_047_h,5.82,Objects,5-6,FEEL
Objects_141_h,3.54,Objects,3-4,FEEL
1110.0,8.42,Snake,8-9,TONE
Animals_097_h,6.48,Animals,6-7,TONE
Landscapes_094_h,7.06,Landscapes,7-8,TONE
9909.0,1.9700000000000006,BurningCar,1-2,TONE
Landscapes_076_h,5.06,Landscapes,5-6,FEEL
Faces_204_v,4.23,Faces,4-5,TONE
Landscapes_025_h,3.73,Landscapes,3-4,TONE
Animals_067_h,2.96,Animals,2-3,TONE
