ID,Category,Valence,Arousal
Animals_002_v,Animals,6.24,6.68
Animals_003_h,Animals,5.24,5.52
Animals_004_v,Animals,4.5,7.02
Animals_005_h,Animals,5.31,5.82
Animals_006_v,Animals,5.13,6.23
Animals_007_h,Animals,4.76,7.06
Animals_009_v,Animals,5.79,5.61
Animals_011_h,Animals,5,7.35
Animals_012_h,Animals,3.62,6.78
Animals_014_h,Animals,5.14,6
Animals_015_h,Animals,4.57,5.9
Animals_020_h,Animals,5.34,6.43
Animals_021_h,Animals,4.6,6.27
Animals_022_h,Animals,5.74,5.75
Animals_023_h,Animals,4.36,6.1
Animals_026_h,Animals,5.35,5.88
Animals_028_h,Animals,5.55,6.1
Animals_030_h,Animals,4.74,6.33
Animals_031_h,Animals,4.58,5.38
Animals_034_h,Animals,3.79,6.85
Animals_035_h,Animals,5.08,6.13
Animals_036_h,Animals,4.15,6
Animals_037_h,Animals,3.03,6.69
Animals_040_v,Animals,6.29,5.49
Animals_041_h,Animals,3.52,6.59
Animals_042_h,Animals,2.82,6.32
Animals_043_h,Animals,5.3,5.39
Animals_044_h,Animals,5.32,5.7
Animals_046_h,Animals,5.65,5.58
Animals_050_h,Animals,3.55,6.45
Animals_051_h,Animals,4.45,5.76
Animals_052_v,Animals,4.04,6.8
Animals_053_h,Animals,3.49,5.73
Animals_055_h,Animals,5.98,5.57
Animals_058_h,Animals,5.02,6.14
Animals_059_h,Animals,4.52,6.5
Animals_061_h,Animals,4.2,6.61
Animals_065_h,Animals,3.84,6
Animals_066_h,Animals,4.36,5.78
Animals_069_h,Animals,4.65,6.5
Animals_070_h,Animals,5.52,6.08
Animals_072_h,Animals,5,6.36
Animals_076_v,Animals,3.68,6.47
Animals_079_h,Animals,4.8,5.94
Animals_080_h,Animals,5.55,5.96
Animals_081_h,Animals,4.87,5.43
Animals_082_h,Animals,5.52,4.61
Animals_083_h,Animals,5.23,5.76
Animals_084_h,Animals,3.83,6.08
Animals_085_h,Animals,5.87,6.63
Animals_086_v,Animals,4.45,5.43
Animals_087_h,Animals,5.67,5.94
Animals_088_h,Animals,5.54,4.54
Animals_089_v,Animals,6.76,4.44
Animals_090_h,Animals,7.44,2.94
Animals_091_h,Animals,6.56,4.24
Animals_092_h,Animals,6.65,4.29
Animals_093_h,Animals,5.38,4.72
Animals_094_h,Animals,6.17,4.91
Animals_095_h,Animals,7.12,2.75
Animals_096_h,Animals,6.79,5
Animals_097_h,Animals,6.48,3.76
Animals_098_h,Animals,6.82,4.4
Animals_099_h,Animals,7.23,3.05
Animals_100_h,Animals,7.42,3.51
Animals_101_v,Animals,7.42,4.39
Animals_102_h,Animals,6.27,5.63
Animals_103_h,Animals,6.31,4.86
Animals_104_h,Animals,6.02,4.18
Animals_105_h,Animals,5.35,4.77
Animals_106_h,Animals,6.69,5.31
Animals_107_h,Animals,6.2,4.83
Animals_108_h,Animals,6.43,4.13
Animals_109_h,Animals,7.02,4.51
Animals_110_h,Animals,4.3,5.66
Animals_111_h,Animals,4.78,6.1
Animals_112_v,Animals,6.68,4.9
Animals_113_h,Animals,6.92,3.51
Animals_114_h,Animals,6.84,4.02
Animals_115_h,Animals,6.65,4.17
Animals_116_h,Animals,7.02,4.43
Animals_117_h,Animals,7.09,5.03
Animals_118_h,Animals,6.79,4.65
Animals_119_h,Animals,6.03,4.22
Animals_120_h,Animals,6.71,4.73
Animals_121_h,Animals,5.96,4.75
Animals_122_h,Animals,6.78,5.18
Animals_123_h,Animals,7.38,3.13
Animals_124_v,Animals,6.37,3.62
Animals_125_h,Animals,6.99,4.54
Animals_126_h,Animals,6.77,3.54
Animals_127_h,Animals,5.07,5.26
Animals_128_h,Animals,6.6,4.15
Animals_129_h,Animals,5.22,5.02
Animals_130_h,Animals,6.34,5.02
Animals_131_h,Animals,7.62,3.92
Animals_132_h,Animals,7.08,3.07
Animals_133_h,Animals,4.85,5.01
Animals_134_h,Animals,7.1,4.76
Animals_135_v,Animals,6.17,4.25
Animals_136_h,Animals,6.81,3.33
Animals_137_h,Animals,7.37,4.44
Animals_138_h,Animals,5.51,5.66
Animals_139_h,Animals,6.37,3.98
Animals_140_h,Animals,7.21,2.76
Animals_141_h,Animals,4.93,5.52
Animals_142_h,Animals,4.53,5.98
Animals_143_h,Animals,4.24,6.58
Animals_144_h,Animals,6.08,5.35
Animals_145_h,Animals,5.49,5.62
Animals_146_h,Animals,6.57,3.91
Animals_147_v,Animals,7.18,4.31
Animals_148_h,Animals,5.35,5.28
Animals_149_v,Animals,7,4.21
Animals_151_v,Animals,4.4,6.16
Animals_152_h,Animals,6.78,3.92
Animals_153_v,Animals,6.89,4.26
Animals_154_h,Animals,5.8,4.84
Animals_155_v,Animals,6.96,3.91
Animals_156_h,Animals,7.86,3.02
Animals_157_h,Animals,7.29,3.25
Animals_158_h,Animals,7.51,3.43
Animals_159_h,Animals,7.2,3.61
Animals_160_h,Animals,7.18,3.91
Animals_161_h,Animals,7.48,3.38
Animals_162_h,Animals,6.2,4.79
Animals_163_h,Animals,7.7,4.29
Animals_164_h,Animals,5.96,4.4
Animals_165_h,Animals,6.92,5.25
Animals_166_v,Animals,8.27,3.33
Animals_167_h,Animals,7.43,4.04
Animals_168_h,Animals,6.71,4.27
Animals_169_h,Animals,6.98,3.65
Animals_170_h,Animals,7,3.63
Animals_171_h,Animals,6.07,5.08
Animals_172_h,Animals,7.71,4.71
Animals_173_h,Animals,7.48,4.76
Animals_174_h,Animals,6.08,4.85
Animals_175_h,Animals,7.4,5.63
Animals_176_h,Animals,6.46,5.13
Animals_177_h,Animals,8.09,4.37
Animals_178_v,Animals,6.74,5.43
Animals_179_h,Animals,7.51,5.38
Animals_180_h,Animals,6.9,4.84
Animals_181_h,Animals,6.65,4.4
Animals_182_h,Animals,7.09,4.09
Animals_183_h,Animals,7.65,4.29
Animals_184_h,Animals,7.96,2.4
Animals_185_h,Animals,6.94,3.5
Animals_186_h,Animals,7.86,4.61
Animals_187_h,Animals,7.87,4.31
Animals_188_h,Animals,7.22,4.13
Animals_189_v,Animals,7.14,3.67
Animals_190_h,Animals,5.69,5.12
Animals_191_h,Animals,7.22,4.38
Animals_192_h,Animals,6.72,3.84
Animals_193_h,Animals,6.78,4.02
Animals_194_h,Animals,6.57,4.24
Animals_195_h,Animals,5.83,4.88
Animals_196_h,Animals,7.15,4.56
Animals_197_h,Animals,6.83,5.15
Animals_198_h,Animals,6.24,5.53
Animals_199_h,Animals,5.88,4.46
Animals_200_v,Animals,5.11,5.8
Animals_201_h,Animals,7.92,3.35
Animals_202_h,Animals,7,4.92
Animals_203_h,Animals,6.35,4.72
Animals_205_h,Animals,6.87,4.62
Animals_206_h,Animals,7.02,4.51
Animals_208_h,Animals,7.41,4.29
Animals_209_h,Animals,5.65,4.54
Animals_210_v,Animals,6.45,3.92
Animals_211_h,Animals,5.67,5.09
Animals_212_v,Animals,6.68,4.92
Animals_213_h,Animals,5.98,5.16
Animals_214_h,Animals,6.33,3.96
Animals_215_v,Animals,6.42,5.11
Animals_216_v,Animals,5.26,5.79
Animals_217_h,Animals,6.2,4.02
Animals_218_h,Animals,5.77,4.36
Animals_219_h,Animals,7.5,2.94
Animals_220_h,Animals,8.02,3.26
Animals_221_h,Animals,3.63,6.48
Faces_001_h,Faces,7.76,4.24
Faces_002_v,Faces,7.88,4.9
Faces_004_h,Faces,6.23,5.8
Faces_005_h,Faces,5.64,5.02
Faces_006_h,Faces,4.73,4.88
Faces_008_h,Faces,5.21,6
Faces_011_h,Faces,3.25,5.42
Faces_012_v,Faces,3.7,5.91
Faces_014_h,Faces,3.95,6.23
Faces_015_h,Faces,4.12,5.74
Faces_017_h,Faces,3.86,5.63
Faces_020_h,Faces,6.02,5.67
Faces_021_h,Faces,3.76,6.56
Faces_022_h,Faces,4.76,5.8
Faces_023_h,Faces,4.67,5.35
Faces_024_h,Faces,4.58,5.78
Faces_026_h,Faces,5.48,5.48
Faces_030_h,Faces,5.56,4.56
Faces_035_h,Faces,3.65,5.68
Faces_036_h,Faces,4.23,5.45
Faces_037_h,Faces,4.14,5.82
Faces_039_h,Faces,4.91,5.07
Faces_040_h,Faces,5.98,4.98
Faces_041_h,Faces,3.02,6.69
Faces_042_h,Faces,6.85,4.17
Faces_043_v,Faces,6.47,4.72
Faces_044_h,Faces,6.06,4.58
Faces_045_h,Faces,5.97,4.23
Faces_046_h,Faces,6.63,4.32
Faces_047_h,Faces,6.45,4.18
Faces_048_h,Faces,5.64,4.51
Faces_049_h,Faces,5.72,4.61
Faces_050_h,Faces,7.65,4.74
Faces_051_h,Faces,7.08,4.31
Faces_053_h,Faces,6.25,4.69
Faces_054_v,Faces,5.37,4.63
Faces_055_h,Faces,5.42,4.9
Faces_056_h,Faces,6.18,4.06
Faces_057_h,Faces,5.72,4.49
Faces_058_h,Faces,5.9,4.73
Faces_059_h,Faces,5.58,4.65
Faces_060_h,Faces,5.21,5.43
Faces_061_h,Faces,7.12,3.54
Faces_062_v,Faces,6.02,4.36
Faces_063_v,Faces,7.55,4.02
Faces_064_h,Faces,6.04,4.29
Faces_065_h,Faces,5.73,5.03
Faces_066_h,Faces,7.43,4.2
Faces_067_h,Faces,6.54,4.2
Faces_068_h,Faces,6.57,4.26
Faces_069_h,Faces,5.85,4.6
Faces_070_v,Faces,5.35,5.37
Faces_071_v,Faces,5.43,5.1
Faces_072_h,Faces,6.35,4.57
Faces_073_v,Faces,6.2,4.9
Faces_074_h,Faces,6.37,4.28
Faces_075_v,Faces,6.55,3.5
Faces_076_h,Faces,6.92,4.36
Faces_077_v,Faces,6.52,4.47
Faces_078_h,Faces,5.63,4.81
Faces_079_h,Faces,7.67,3.84
Faces_080_h,Faces,7.38,4.9
Faces_081_v,Faces,7.6,4.76
Faces_082_v,Faces,7.33,4.5
Faces_083_h,Faces,6.57,4.39
Faces_084_v,Faces,6.86,4.39
Faces_085_h,Faces,6.06,5.02
Faces_086_v,Faces,7.25,3.56
Faces_087_h,Faces,6.54,4.24
Faces_088_v,Faces,7.43,4.92
Faces_089_h,Faces,7.85,3.17
Faces_090_v,Faces,6.41,5.6
Faces_091_v,Faces,7.08,4.14
Faces_092_h,Faces,7.08,4.54
Faces_093_v,Faces,6.83,4.38
Faces_094_h,Faces,6.92,4.6
Faces_095_h,Faces,6.94,4.83
Faces_096_h,Faces,6.69,5.2
Faces_097_v,Faces,6.62,5
Faces_098_h,Faces,6.92,3.96
Faces_099_h,Faces,6.96,4.02
Faces_100_h,Faces,7.53,4.65
Faces_101_h,Faces,6.53,5.02
Faces_102_h,Faces,6.49,4.63
Faces_103_h,Faces,6.92,4.72
Faces_105_h,Faces,7.04,4.8
Faces_106_h,Faces,7.35,4.25
Faces_107_h,Faces,7.53,4.91
Faces_108_h,Faces,7.47,4.64
Faces_109_v,Faces,8.17,4.6
Faces_110_h,Faces,6.76,4.44
Faces_111_h,Faces,6.45,4.19
Faces_112_h,Faces,6.48,4.49
Faces_113_h,Faces,6.9,5.13
Faces_114_h,Faces,7.81,4.55
Faces_115_h,Faces,7.06,3.89
Faces_116_h,Faces,7.57,5.11
Faces_117_h,Faces,6.56,4.89
Faces_118_h,Faces,7.12,4.68
Faces_119_v,Faces,5.58,4.88
Faces_120_h,Faces,7.67,5.17
Faces_121_h,Faces,6.84,4.1
Faces_122_h,Faces,7.85,5.1
Faces_123_h,Faces,6.58,4.17
Faces_124_h,Faces,7.41,3.92
Faces_125_h,Faces,7.22,3.98
Faces_126_h,Faces,6.98,4.56
Faces_127_h,Faces,7.59,4.92
Faces_128_h,Faces,6.15,4.65
Faces_129_h,Faces,6.96,4.23
Faces_130_h,Faces,7.38,4.16
Faces_131_v,Faces,7.27,4.01
Faces_132_h,Faces,6.85,5.65
Faces_133_h,Faces,7.4,4.6
Faces_134_h,Faces,7.43,5.68
Faces_135_h,Faces,7.35,4.84
Faces_136_v,Faces,7.46,5.2
Faces_137_h,Faces,7.48,4.59
Faces_138_h,Faces,6.63,4.19
Faces_139_v,Faces,6.98,4.42
Faces_140_h,Faces,7.63,4.68
Faces_142_h,Faces,4.3,5.71
Faces_144_h,Faces,4.46,6.08
Faces_146_h,Faces,3.07,6.42
Faces_148_h,Faces,3.71,6
Faces_150_h,Faces,3.34,6
Faces_152_h,Faces,2.71,6.6
Faces_154_h,Faces,4.06,5.64
Faces_155_h,Faces,3.98,5.17
Faces_156_h,Faces,4.61,5.85
Faces_157_h,Faces,4.25,4.61
Faces_158_h,Faces,3.42,6.45
Faces_161_h,Faces,4.22,5.49
Faces_162_h,Faces,4.16,5.68
Faces_163_h,Faces,3.98,6.35
Faces_164_h,Faces,3.18,6.27
Faces_165_v,Faces,3.94,5.83
Faces_166_h,Faces,4.72,4.8
Faces_167_v,Faces,4.84,4.39
Faces_168_h,Faces,4.44,5.53
Faces_169_v,Faces,4.47,4.98
Faces_171_v,Faces,4.75,5.13
Faces_172_h,Faces,2.45,6.84
Faces_173_v,Faces,3.19,5.98
Faces_175_v,Faces,3.54,5.43
Faces_176_h,Faces,3.44,6.11
Faces_177_v,Faces,4.47,5.91
Faces_178_h,Faces,6.7,4.36
Faces_179_v,Faces,6.9,4.27
Faces_180_h,Faces,5.27,4.67
Faces_181_v,Faces,6.72,3.55
Faces_182_h,Faces,5.83,4.78
Faces_183_v,Faces,5.4,4.39
Faces_184_h,Faces,6.24,4.73
Faces_185_v,Faces,5.4,4.78
Faces_186_h,Faces,6.31,4.39
Faces_187_v,Faces,5.25,4.56
Faces_188_h,Faces,6.04,4.68
Faces_189_v,Faces,5.56,4.92
Faces_190_h,Faces,4.8,4.93
Faces_191_v,Faces,5.21,4.73
Faces_192_h,Faces,5.43,4.78
Faces_193_v,Faces,5.17,4.69
Faces_194_h,Faces,5.23,4.9
Faces_195_v,Faces,5.71,3.69
Faces_196_h,Faces,5.75,4.36
Faces_197_v,Faces,4.56,4.82
Faces_198_h,Faces,4.72,4.91
Faces_199_v,Faces,6.32,3.61
Faces_200_h,Faces,5.57,4.5
Faces_201_v,Faces,5.3,4.78
Faces_202_v,Faces,4.56,4.85
Faces_203_h,Faces,6.11,4.2
Faces_204_v,Faces,4.23,5.09
Faces_205_h,Faces,5.66,4.62
Faces_206_v,Faces,5.58,4.65
Faces_207_h,Faces,5.96,4.5
Faces_208_h,Faces,5.56,4.6
Faces_209_h,Faces,5.82,4.58
Faces_210_h,Faces,6.38,4.43
Faces_211_h,Faces,5.48,5.06
Faces_212_h,Faces,4.52,5.1
Faces_213_v,Faces,5.84,4.98
Faces_214_h,Faces,6.3,3.83
Faces_215_v,Faces,4.67,4.85
Faces_216_h,Faces,4.91,4.85
Faces_217_v,Faces,5.83,4.78
Faces_218_h,Faces,4.96,4.85
Faces_219_v,Faces,6.49,4.06
Faces_220_h,Faces,4.73,4.8
Faces_221_v,Faces,5.65,5.07
Faces_222_h,Faces,5.67,4.57
Faces_223_v,Faces,5.83,4.94
Faces_224_h,Faces,5.78,4.24
Faces_225_v,Faces,5.51,4.88
Faces_226_h,Faces,5.97,4.64
Faces_227_v,Faces,7.25,4.21
Faces_228_h,Faces,7.26,3.63
Faces_229_v,Faces,6.67,4.13
Faces_230_h,Faces,6,4.82
Faces_231_v,Faces,6.68,4.2
Faces_232_h,Faces,7.26,4.98
Faces_233_v,Faces,5.74,4.65
Faces_234_h,Faces,7.37,5.76
Faces_235_v,Faces,7.4,4.81
Faces_236_h,Faces,6.72,5.4
Faces_237_v,Faces,6.49,4.24
Faces_238_h,Faces,6.97,4.42
Faces_239_v,Faces,6.27,5.2
Faces_240_h,Faces,6.61,5.36
Faces_241_v,Faces,6.68,4.44
Faces_242_h,Faces,6.98,4.63
Faces_243_v,Faces,6.97,3.49
Faces_244_h,Faces,6.84,4
Faces_245_v,Faces,6.47,5.24
Faces_246_v,Faces,6.86,4.78
Faces_247_h,Faces,6.41,4.85
Faces_248_v,Faces,6.94,4.42
Faces_249_v,Faces,6.75,3.45
Faces_250_h,Faces,5.73,5.33
Faces_251_v,Faces,5.71,4.57
