ID,Category,ValenceM,ValenceSD,ArousalM,ArousalSD
Animals_002_v.jpg,Animals,3.2,1.32,3.55,1.47
Animals_003_h.jpg,Animals,2.45,1.28,3.45,1.28
Animals_004_v.jpg,Animals,2.97,1.75,3.53,1.66
Animals_005_h.jpg,Animals,1.85,1.18,2.5,1.73
Animals_006_v.jpg,Animals,2.4,1.47,3.2,1.28
Animals_007_h.jpg,Animals,3.5,1.4,3.2,1.15
Animals_009_v.jpg,Animals,3.48,1.38,3.48,0.9
Animals_011_h.jpg,Animals,3,1.68,3.61,1.23
Animals_012_h.jpg,Animals,2,1.44,3.55,1.7
Animals_014_h.jpg,Animals,2.95,1.61,2.75,1.62
Animals_015_h.jpg,Animals,2.84,1.61,3.16,1.61
Animals_020_h.jpg,Animals,2.9,1.25,3.05,1.32
Animals_021_h.jpg,Animals,3,1.56,3,1.53
Animals_022_h.jpg,Animals,3.11,1.56,3.26,1.33
Animals_023_h.jpg,Animals,2.05,1.36,3.14,1.49
Animals_026_h.jpg,Animals,2.13,1.25,3.27,1.64
Animals_028_h.jpg,Animals,2.75,1.45,2.85,1.5
Animals_030_h.jpg,Animals,2.85,1.5,2.9,1.37
Animals_031_h.jpg,Animals,2.7,0.7,2.5,1.38
Animals_034_h.jpg,Animals,2.7,1.38,2.95,1.43
Animals_035_h.jpg,Animals,3,1.35,2.61,1.59
Animals_036_h.jpg,Animals,3.5,1.76,3.25,1.65
Animals_037_h.jpg,Animals,2.14,1.56,2.48,1.63
Animals_040_v.jpg,Animals,2.07,1.14,3.1,1.65
Animals_041_h.jpg,Animals,1.3,0.66,3,1.84
Animals_042_h.jpg,Animals,1.95,1.1,2.3,1.08
Animals_043_h.jpg,Animals,2.53,1.38,3.63,1.45
Animals_044_h.jpg,Animals,1.78,0.9,2.45,1.6
Animals_046_h.jpg,Animals,3.22,1.48,3,1.57
Animals_050_h.jpg,Animals,3.1,1.34,2.81,1.54
Animals_051_h.jpg,Animals,2.5,1.61,2.8,1.54
Animals_052_v.jpg,Animals,2.2,1.54,3.05,1.73
Animals_053_h.jpg,Animals,4,1.57,3.3,1.49
Animals_055_h.jpg,Animals,4.1,1.37,4,1.34
Animals_058_h.jpg,Animals,2.67,1.77,3.19,1.78
Animals_059_h.jpg,Animals,2.76,1.51,2.95,1.63
Animals_061_h.jpg,Animals,3.2,1.2,2.75,1.62
Animals_065_h.jpg,Animals,2.05,1.47,2.95,1.67
Animals_066_h.jpg,Animals,4.05,1.43,2.47,1.22
