ID,Category,ValenceM,ArousalM,ValenceLevel,ArousalLevel
Animals_005_h.jpg,Animals,1.85,2.5,Low,Low
Landscapes_068_h.jpg,Landscapes,2.11,2.11,Low,Low
People_150_h.jpg,People,2.47,1.47,Low,Low
Landscapes_118_v.jpg,Landscapes,2.3,2.85,Low,Medium
People_080_h.jpg,People,1.46,2.71,Low,Medium
Animals_041_h.jpg,Animals,1.3,3.0,Low,Medium
Animals_069_h.jpg,Animals,1.67,3.97,Low,High
Animals_012_h.jpg,Animals,2.0,3.55,Low,High
Animals_217_h.jpg,Animals,2.89,1.95,Medium,Low
People_137_h.jpg,People,2.64,1.64,Medium,Low
Landscapes_028_h.jpg,Landscapes,3.09,1.91,Medium,Low
Landscapes_177_h.jpg,Landscapes,3.15,2.9,Medium,Medium
Faces_349_h.jpg,Faces,3.15,2.65,Medium,Medium
People_115_h.jpg,People,3.47,2.68,Medium,Medium
Animals_004_v.jpg,Animals,2.97,3.53,Medium,High
Animals_043_h.jpg,Animals,2.53,3.63,Medium,High
Animals_145_h.jpg,Animals,2.84,3.53,Medium,High
Animals_152_h.jpg,Animals,4.19,2.19,High,Low
People_110_h.jpg,People,4.27,2.14,High,Low
Objects_289_h.jpg,Objects,4.05,2.41,High,Low
Faces_342_h.jpg,Faces,3.75,2.8,High,Medium
People_191_h.jpg,People,3.7,2.8,High,Medium
Objects_324_h.jpg,Objects,4.71,2.54,High,Medium
Faces_295_h.jpg,Faces,4.21,3.53,High,High
Objects_085_h.jpg,Objects,4.5,3.65,High,High
People_188_h.jpg,People,4.6,3.6,High,High
Animals_185_h.jpg,Animals,3.5,2.45,Medium,Low
People_165_v.jpg,People,2.9,2.05,Medium,Low
Faces_344_h.jpg,Faces,3.84,2.58,High,Medium
People_055_h.jpg,People,4.25,3.25,High,Medium
