ID,Category,ValenceM,ArousalM,ValenceLevel,ArousalLevel
Animals_002_v.jpg,Animals,3.2,3.55,Medium,High
Animals_003_h.jpg,Animals,2.45,3.45,Low,Medium
Animals_004_v.jpg,Animals,2.97,3.53,Medium,High
Animals_005_h.jpg,Animals,1.85,2.5,Low,Low
Animals_006_v.jpg,Animals,2.4,3.2,Low,Medium
Animals_007_h.jpg,Animals,3.5,3.2,Medium,Medium
Animals_009_v.jpg,Animals,3.48,3.48,Medium,Medium
Animals_011_h.jpg,Animals,3.0,3.61,Medium,High
Animals_012_h.jpg,Animals,2.0,3.55,Low,High
Animals_014_h.jpg,Animals,2.95,2.75,Medium,Medium
Animals_015_h.jpg,Animals,2.84,3.16,Medium,Medium
Animals_020_h.jpg,Animals,2.9,3.05,Medium,Medium
Animals_021_h.jpg,Animals,3.0,3.0,Medium,Medium
Animals_022_h.jpg,Animals,3.11,3.26,Medium,Medium
Animals_023_h.jpg,Animals,2.05,3.14,Low,Medium
Animals_026_h.jpg,Animals,2.13,3.27,Low,Medium
Animals_028_h.jpg,Animals,2.75,2.85,Medium,Medium
Animals_030_h.jpg,Animals,2.85,2.9,Medium,Medium
Animals_031_h.jpg,Animals,2.7,2.5,Medium,Low
Animals_034_h.jpg,Animals,2.7,2.95,Medium,Medium
Animals_035_h.jpg,Animals,3.0,2.61,Medium,Medium
Animals_036_h.jpg,Animals,3.5,3.25,Medium,Medium
Animals_037_h.jpg,Animals,2.14,2.48,Low,Low
Animals_040_v.jpg,Animals,2.07,3.1,Low,Medium
Animals_041_h.jpg,Animals,1.3,3.0,Low,Medium
Animals_042_h.jpg,Animals,1.95,2.3,Low,Low
Animals_043_h.jpg,Animals,2.53,3.63,Medium,High
Animals_044_h.jpg,Animals,1.78,2.45,Low,Low
Animals_046_h.jpg,Animals,3.22,3.0,Medium,Medium
Animals_050_h.jpg,Animals,3.1,2.81,Medium,Medium
Animals_051_h.jpg,Animals,2.5,2.8,Low,Medium
Animals_052_v.jpg,Animals,2.2,3.05,Low,Medium
Animals_053_h.jpg,Animals,4.0,3.3,High,Medium
Animals_055_h.jpg,Animals,4.1,4.0,High,High
Animals_058_h.jpg,Animals,2.67,3.19,Medium,Medium
Animals_059_h.jpg,Animals,2.76,2.95,Medium,Medium
Animals_061_h.jpg,Animals,3.2,2.75,Medium,Medium
Animals_065_h.jpg,Animals,2.05,2.95,Low,Medium
Animals_066_h.jpg,Animals,4.05,2.47,High,Low
Animals_069_h.jpg,Animals,1.67,3.97,Low,High
Animals_070_h.jpg,Animals,2.74,2.91,Medium,Medium
Animals_072_h.jpg,Animals,2.86,2.71,Medium,Medium
Animals_076_v.jpg,Animals,3.55,2.5,High,Low
Animals_079_h.jpg,Animals,3.45,3.45,Medium,Medium
Animals_080_h.jpg,Animals,4.19,3.0,High,Medium
Animals_081_h.jpg,Animals,2.45,2.45,Low,Low
Animals_082_h.jpg,Animals,2.86,1.9,Medium,Low
Animals_083_h.jpg,Animals,4.07,2.77,High,Medium
Animals_084_h.jpg,Animals,2.8,2.15,Medium,Low
Animals_085_h.jpg,Animals,3.91,3.22,High,Medium
Animals_086_v.jpg,Animals,4.43,2.57,High,Medium
Animals_087_h.jpg,Animals,2.86,2.74,Medium,Medium
Animals_088_h.jpg,Animals,4.15,2.4,High,Low
Animals_089_v.jpg,Animals,3.6,2.25,High,Low
Animals_090_h.jpg,Animals,4.55,3.55,High,High
Animals_091_h.jpg,Animals,4.15,2.35,High,Low
Animals_092_h.jpg,Animals,4.86,2.95,High,Medium
Animals_093_h.jpg,Animals,4.53,2.4,High,Low
Animals_094_h.jpg,Animals,2.85,3.1,Medium,Medium
Animals_095_h.jpg,Animals,4.5,2.33,High,Low
Animals_096_h.jpg,Animals,4.45,3.04,High,Medium
Animals_097_h.jpg,Animals,4.03,2.45,High,Low
Animals_098_h.jpg,Animals,4.35,3.6,High,High
Animals_099_h.jpg,Animals,4.15,3.0,High,Medium
Animals_100_h.jpg,Animals,4.7,2.57,High,Medium
Animals_101_v.jpg,Animals,4.9,2.97,High,Medium
Animals_102_h.jpg,Animals,4.38,3.33,High,Medium
Animals_103_h.jpg,Animals,4.22,3.26,High,Medium
Animals_104_h.jpg,Animals,4.15,2.85,High,Medium
Animals_105_h.jpg,Animals,3.65,3.0,High,Medium
Animals_106_h.jpg,Animals,3.61,2.87,High,Medium
Animals_107_h.jpg,Animals,2.67,2.41,Medium,Low
Animals_108_h.jpg,Animals,3.9,2.76,High,Medium
Animals_109_h.jpg,Animals,4.53,2.53,High,Medium
Animals_110_h.jpg,Animals,3.79,3.0,High,Medium
Animals_111_h.jpg,Animals,2.5,2.55,Low,Medium
Animals_112_v.jpg,Animals,2.63,2.26,Medium,Low
Animals_113_h.jpg,Animals,4.55,3.0,High,Medium
Animals_114_h.jpg,Animals,4.95,4.25,High,High
Animals_115_h.jpg,Animals,4.7,4.0,High,High
Animals_116_h.jpg,Animals,4.45,2.59,High,Medium
Animals_117_h.jpg,Animals,4.21,3.68,High,High
Animals_118_h.jpg,Animals,4.61,3.26,High,Medium
Animals_119_h.jpg,Animals,3.6,3.13,High,Medium
Animals_120_h.jpg,Animals,4.77,3.1,High,Medium
Animals_121_h.jpg,Animals,3.9,2.67,High,Medium
Animals_122_h.jpg,Animals,3.6,2.85,High,Medium
Animals_123_h.jpg,Animals,4.3,2.3,High,Low
Animals_124_v.jpg,Animals,3.6,3.3,High,Medium
Animals_125_h.jpg,Animals,4.2,3.4,High,Medium
Animals_126_h.jpg,Animals,3.9,3.07,High,Medium
Animals_127_h.jpg,Animals,2.53,2.47,Medium,Low
Animals_128_h.jpg,Animals,4.05,2.95,High,Medium
Animals_129_h.jpg,Animals,4.05,3.68,High,High
Animals_130_h.jpg,Animals,3.57,2.52,High,Medium
Animals_131_h.jpg,Animals,4.61,3.78,High,High
Animals_132_h.jpg,Animals,4.0,2.7,High,Medium
Animals_133_h.jpg,Animals,4.7,2.85,High,Medium
Animals_134_h.jpg,Animals,5.0,3.95,High,High
Animals_135_v.jpg,Animals,2.47,2.67,Low,Medium
Animals_136_h.jpg,Animals,4.71,2.62,High,Medium
Animals_137_h.jpg,Animals,4.53,2.68,High,Medium
Animals_138_h.jpg,Animals,2.83,2.61,Medium,Medium
Animals_139_h.jpg,Animals,3.13,2.63,Medium,Medium
Animals_140_h.jpg,Animals,4.67,2.93,High,Medium
Animals_141_h.jpg,Animals,2.67,3.07,Medium,Medium
Animals_142_h.jpg,Animals,2.65,2.85,Medium,Medium
Animals_143_h.jpg,Animals,2.9,2.55,Medium,Medium
Animals_144_h.jpg,Animals,3.91,3.04,High,Medium
Animals_145_h.jpg,Animals,2.84,3.53,Medium,High
Animals_146_h.jpg,Animals,3.9,3.3,High,Medium
Animals_147_v.jpg,Animals,4.0,3.2,High,Medium
Animals_148_h.jpg,Animals,4.33,3.52,High,High
Animals_149_v.jpg,Animals,4.53,2.63,High,Medium
Animals_151_v.jpg,Animals,2.09,2.39,Low,Low
Animals_152_h.jpg,Animals,4.19,2.19,High,Low
Animals_153_v.jpg,Animals,4.35,3.6,High,High
Animals_154_h.jpg,Animals,2.55,2.6,Medium,Medium
Animals_155_v.jpg,Animals,4.7,3.43,High,Medium
Animals_156_h.jpg,Animals,4.89,3.63,High,High
Animals_157_h.jpg,Animals,4.6,4.55,High,High
Animals_158_h.jpg,Animals,4.87,3.35,High,Medium
Animals_159_h.jpg,Animals,4.89,3.47,High,Medium
Animals_160_h.jpg,Animals,4.9,4.15,High,High
Animals_161_h.jpg,Animals,4.8,2.85,High,Medium
Animals_162_h.jpg,Animals,3.47,2.58,Medium,Medium
Animals_163_h.jpg,Animals,3.7,3.17,High,Medium
Animals_164_h.jpg,Animals,4.57,3.22,High,Medium
Animals_165_h.jpg,Animals,3.96,3.0,High,Medium
